mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
13	13	207/4	207/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	93
13	13	207/4	207/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		4	76	E5	5	93
13	13	207/4	207/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		1	79	G5	5	93
14	14	52	52	2.0	0	0	4/4	2	2	1/2		1/2	1		0	36	C2	2	112
14	14	52	52	0.5	0	0	4/4	2	1	1/8		1/8	1		0	48	C3	3	106
14	14	52	52	2.0	0	0	4/4	2	2	1/2		1/2	1		0	48	C3	3	112
14	14	52	52	3.0	0	0	4/4	1	1	3/4		1/2	3/2		1	67	G4	4	104
14	14	52	52	3.0	0	0	4/4	1	1	3/4		1/2	3/2		0	72	C5	5	104
14	14	52	52	3.0	0	0	4/4	1	1	3/4		1/2	3/2		4	76	E5	5	104
14	14	52	52	3.0	0	0	4/4	1	1	3/4		1/2	3/2		1	79	G5	5	104
14	14	105/2	105/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		1	55	G3	3	107
14	14	53	53	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		0	60	C4	4	108
14	14	107/2	107/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1	1	1	67	G4	4	109
14	14	54	54	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1	-1	1	67	G4	4	110
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	48	C3	3	111
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	111
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	111
14	14	55	55	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		4	64	E4	4	105
14	14	55	55	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		1	67	G4	4	105
14	14	55	55	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	105
14	14	55	55	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		4	76	E5	5	105
15	15	56	56	1.0	0	0	4/4	2	1	1/4		1/4	1		3	45	A2	2	117
15	15	56	56	1.0	0	0	4/4	2	1	1/4		1/4	1		0	60	C4	4	117
15	15	56	56	1.0	0	0	4/4	1	1	1/4		1/4	1		-1	65	F4	4	113
15	15	56	56	1.0	0	0	4/4	1	1	1/4		1/4	1		0	72	C5	5	113
15	15	56	56	1.0	0	0	4/4	1	1	1/4		1/4	1		-1	77	F5	5	113
15	15	57	57	2.0	1/4	1/4	4/4	2	1	1/2		1/2	1		5	47	B2	2	118
15	15	57	57	2.0	1/4	1/4	4/4	2	1	1/2		1/2	1		-1	53	F3	3	118
15	15	57	57	2.0	1/4	1/4	4/4	2	1	1/2		1/2	1		1	55	G3	3	118
15	15	57	57	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		2	62	D4	4	114
15	15	57	57	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		1	67	G4	4	114
15	15	57	57	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5	114
15	15	59	59	0.6666666666666666	3/4	3/4	4/4	2	1	1/6		1/4	2/3		0	48	C3	3	119
15	15	59	59	0.6666666666666666	3/4	3/4	4/4	2	1	1/6		1/4	2/3		4	52	E3	3	119
15	15	59	59	0.6666666666666666	3/4	3/4	4/4	2	1	1/6		1/4	2/3		1	55	G3	3	119
15	15	59	59	0.6666666666666666	3/4	3/4	4/4	1	1	1/6		1/4	2/3		4	64	E4	4	115
15	15	59	59	0.6666666666666666	3/4	3/4	4/4	1	1	1/6		1/4	2/3		1	67	G4	4	115
15	15	59	59	0.6666666666666666	3/4	3/4	4/4	1	1	1/6		1/4	2/3		4	76	E5	5	115
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	120
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	4/4	2	1	1/12		1/8	2/3		1	55	G3	3	120
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		0	60	C4	4	116
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		1	67	G4	4	116
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		0	72	C5	5	116
16	16	60	60	1.75	0	0	4/4	2	1	7/16		1/4	7/4		1	43	G2	2	122
16	16	60	60	1.75	0	0	4/4	2	1	7/16		1/4	7/4		5	59	B3	3	122
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		2	62	D4	4	121
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	121
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	121
16	16	247/4	247/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		1	55	G3	3	123
16	16	247/4	247/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		1	67	G4	4	123
16	16	62	62	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	124
16	16	62	62	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	67	G4	4	124
16	16	63	63	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	125
16	16	63	63	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	67	G4	4	125
17	17	64	64	0.5	0	0	4/4	2	1	1/8		1/8	1		0	36	C2	2	129
17	17	64	64	2.0	0	0	4/4	2	2	1/2		1/2	1		0	36	C2	2	137
17	17	64	64	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	126
17	17	64	64	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	126
17	17	64	64	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	126
17	17	64	64	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	126
17	17	129/2	129/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		1	43	G2	2	130
17	17	65	65	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		0	48	C3	3	131
17	17	131/2	131/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		1	55	G3	3	132
17	17	66	66	2.0	1/2	1/2	4/4	2	2	1/2		1/2	1		3	33	A1	1	138
17	17	66	66	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		3	45	A2	2	133
17	17	66	66	2.0	1/2	1/2	4/4	2	2	1/2		1/2	1		3	45	A2	2	138
17	17	66	66	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		0	60	C4	4	127
17	17	66	66	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		4	64	E4	4	127
17	17	66	66	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		3	69	A4	4	127
17	17	66	66	1.75	1/2	1/2	4/4	1	1	7/16		1/4	7/4		0	72	C5	5	127
17	17	133/2	133/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		4	52	E3	3	134
