mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
4	4	10	10	0.0	1/4	1/4	Tempo	6/8	1	1	0								𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0								
4	4	11	11	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
4	4	23/2	23/2	0.0	5/8	5/8	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
4	4	9	9	0.0	0	0	Spanner	6/8	3	1	0													6							0
4	4	9	9	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	34									6							0
4	4	37/4	37/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	35																0
4	4	10	10	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	36									9							0
4	4	41/4	41/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	37									9							0
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	38		articStaccatoAbove														0
4	4	11	11	0.0	1/2	1/2	Spanner	6/8	3	1	0																				
4	4	9	9	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	39									10					0	0	
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	40									10					0	0	
4	4	10	10	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	41														0	0	
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	42									11					0	0	
4	4	11	11	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	43									11					0	0	
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	44														0	0	
5	5	12	12	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
5	5	27/2	27/2	0.0	3/8	3/8	Tempo	6/8	1	1	0								𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0								
5	5	12	12	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	45									12					0	0	
5	5	25/2	25/2	0.0	1/8	1/8	Dynamic	6/8	4	1	0					other-dynamics								12					0	0	
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	46									12					0	0	
5	5	13	13	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	47														0	0	
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	6/8	4	1	0																				
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	6/8	4	1	0																		1	1	
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	48									13					1	1	
5	5	14	14	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	49									13					1	1	
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	50														1	1	
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	4	2	3/8		1/4	3/2	51														1	1	
6	6	15	15	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0								
6	6	17	17	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0								
6	6	33/2	33/2	0.0	3/8	3/8	Dynamic	6/8	3	1	0					other-dynamics															
6	6	17	17	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	52									14							
6	6	69/4	69/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	53									14							
6	6	35/2	35/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	54									14							
6	6	71/4	71/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	55									14							
6	6	15	15	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	56									15					1	1	
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	57									15					1	1	
6	6	16	16	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	58														1	1	
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	59									16					1	1	
6	6	17	17	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	60									16					1	1	
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	61														1	1	
7	7	20	20	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0								
7	7	18	18	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	62									14							
7	7	73/4	73/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	63																
7	7	37/2	37/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	64									17							
7	7	75/4	75/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	65									17							
7	7	19	19	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	66									17							
7	7	77/4	77/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	67									17							
7	7	39/2	39/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	68									17							
7	7	79/4	79/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	69																
7	7	20	20	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	70									18							
7	7	81/4	81/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	71									18							
7	7	41/2	41/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	72									18							
7	7	83/4	83/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	73									18							
7	7	18	18	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	74									19					1	1	
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	75									19					1	1	
7	7	19	19	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	76														1	1	
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	77									20					1	1	
7	7	20	20	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	78									20					1	1	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	79														1	1	
8	8	22	22	0.0	1/4	1/4	Tempo	6/8	1	1	0								𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0								
8	8	23	23	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
8	8	47/2	47/2	0.0	5/8	5/8	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
8	8	21	21	0.0	0	0	Spanner	6/8	3	1	0													18							1
8	8	21	21	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	80									18							1
8	8	85/4	85/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	81																1
8	8	22	22	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	82									21							1
8	8	89/4	89/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	83									21							1
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	84		articStaccatoAbove														1
8	8	23	23	0.0	1/2	1/2	Spanner	6/8	3	1	0																				
8	8	21	21	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	85									22					1	1	
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	86									22					1	1	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	87														1	1	
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	88									23					1	1	
8	8	23	23	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	89									23					1	1	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	90														1	1	
9	9	24	24	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
9	9	51/2	51/2	0.0	3/8	3/8	Tempo	6/8	1	1	0								𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0								
9	9	24	24	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	91									24					1	1	
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	92									24					1	1	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	93														1	1	
9	9	51/2	51/2	0.0	3/8	3/8	Spanner	6/8	4	1	0																		2	2	
9	9	51/2	51/2	0.0	3/8	3/8	Spanner	6/8	4	1	0																		2	2	
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	94									25					2	2	
9	9	26	26	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	95									25					2	2	
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	96														2	2	
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	4	2	3/8		1/4	3/2	97														2	2	
10	10	27	27	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0								
10	10	29	29	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0								
10	10	29	29	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	98									26							
10	10	117/4	117/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	99									26							
10	10	59/2	59/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	100									26							
10	10	119/4	119/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	101									26							
10	10	27	27	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	102									27					2	2	
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	103									27					2	2	
10	10	28	28	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	104														2	2	
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	105									28					2	2	
10	10	29	29	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	106									28					2	2	
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	107														2	2	
11	11	32	32	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0								
11	11	30	30	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	108									26							
11	11	121/4	121/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	109																
11	11	61/2	61/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	110									29							
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	111									29							
11	11	31	31	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	112									29							
11	11	125/4	125/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	113									29							
11	11	63/2	63/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	114									29							
11	11	127/4	127/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	115																
11	11	32	32	0.0	1/2	1/2	Spanner	6/8	3	1	0																				2
11	11	32	32	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	116									30							2
11	11	129/4	129/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	117									30							2
11	11	65/2	65/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	118									30							2
11	11	131/4	131/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	119									30							2
11	11	30	30	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	120									31					2	2	
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	121									31					2	2	
11	11	31	31	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	122														2	2	
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	123									32					2	2	
11	11	32	32	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	124									32					2	2	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	125														2	2	
12	12	34	34	0.0	1/4	1/4	Tempo	6/8	1	1	0								𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0								
12	12	35	35	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
12	12	71/2	71/2	0.0	5/8	5/8	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
12	12	33	33	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	126									30							2
12	12	133/4	133/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	127																2
12	12	34	34	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	128									33							2
12	12	137/4	137/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	129									33							2
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	130		articStaccatoAbove														2
12	12	35	35	0.0	1/2	1/2	Spanner	6/8	3	1	0																				
12	12	33	33	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	131									34					2	2	
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	132									34					2	2	
12	12	34	34	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	133														2	2	
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	134									35					2	2	
12	12	35	35	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	135									35					2	2	
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	136														2	2	
13	13	36	36	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
13	13	37	37	0.0	1/4	1/4	Tempo	6/8	1	1	0								𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0								
13	13	37	37	0.0	1/4	1/4	Dynamic	6/8	3	1	0					pp															
13	13	37	37	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	137									36							
13	13	149/4	149/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	138									36							
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	139		articStaccatoAbove														
13	13	36	36	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	140									37					2	2	
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	141														2	2	
13	13	77/2	77/2	0.25	5/8	5/8	Chord	6/8	4	1	1/16		1/16	1	142									38					2	2	
13	13	155/4	155/4	0.25	11/16	11/16	Chord	6/8	4	1	1/16		1/16	1	143									38					2	2	
14	14	40	40	0.0	1/4	1/4	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
14	14	83/2	83/2	0.0	5/8	5/8	Tempo	6/8	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0								
14	14	167/4	167/4	0.0	11/16	11/16	Tempo	6/8	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0								
14	14	40	40	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	144									39							
14	14	161/4	161/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	145									39							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	146		articStaccatoAbove														
14	14	83/2	83/2	0.0	5/8	5/8	Dynamic	6/8	3	1	0					ppp															
14	14	83/2	83/2	0.0	5/8	5/8	Spanner	6/8	3	1	0																				3
14	14	83/2	83/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	147									40							3
14	14	167/4	167/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	148									40							3
14	14	39	39	0.5	0	0	Chord	6/8	4	1	1/8		1/8	1	149		articStaccatoBelow												2	2	
15	15	85/2	85/2	0.0	1/8	1/8	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0								
15	15	42	42	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	150		articStaccatoAbove														3
15	15	85/2	85/2	0.0	1/8	1/8	Spanner	6/8	3	1	0																				
16	16	45	45	0.0	0	0	Spanner	6/8	4	1	0																				
17	17	47	47	0.0	1/8	1/2	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
17	17	95/2	95/2	0.0	1/4	5/8	Tempo	6/8	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0								
17	17	93/2	93/2	0.0	0	3/8	StaffText	6/8	3	1	0							"<i/><font size=""10""/>(La Biondina in Gondoletta)   CANZONE del Cavaliere PERUCHINI"													
17	17	47	47	0.0	1/8	1/2	Dynamic	6/8	3	1	0					p															
17	17	47	47	0.5	1/8	1/2	Chord	6/8	3	1	1/8		1/8	1	151		articStaccatoBelow							41							
17	17	95/2	95/2	0.5	1/4	5/8	Chord	6/8	3	1	1/8		1/8	1	152		articStaccatoBelow														
18	18	48	48	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
18	18	48	48	0.0	0	0	StaffText	6/8	3	1	0							sempre dolcissimo													
18	18	48	48	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	153																
18	18	49	49	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	154		articStaccatoBelow							42							
18	18	99/2	99/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	155		articStaccatoAbove							42							
18	18	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	156		articStaccatoBelow														
18	18	99/2	99/2	0.5	3/8	3/8	Chord	6/8	3	2	1/8		1/8	1	157																
18	18	48	48	0.0	0	0	Spanner	6/8	4	1	0																		3	3	
18	18	97/2	97/2	0.0	1/8	1/8	Dynamic	6/8	4	1	0					pp													3	3	
18	18	97/2	97/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	158									43					3	3	
18	18	49	49	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	159									43					3	3	
18	18	99/2	99/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	160									43					3	3	
18	18	50	50	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	161									43					3	3	
18	18	101/2	101/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	162														3	3	
19	19	51	51	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0								
19	19	53	53	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
19	19	51	51	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	163		articTenutoAbove							44							
19	19	52	52	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	164																
19	19	53	53	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	165									45							
19	19	107/2	107/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	166									45							
19	19	51	51	0.0	0	0	Spanner	6/8	4	1	0																				
19	19	51	51	0.0	0	0	Spanner	6/8	4	1	0																		4	4	
19	19	103/2	103/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	167									46					4	4	
19	19	52	52	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	168									46					4	4	
19	19	105/2	105/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	169									46					4	4	
19	19	53	53	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	170									46					4	4	
19	19	107/2	107/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	171														4	4	
20	20	54	54	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	172									45							
20	20	109/2	109/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	173									45							
20	20	55	55	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	174																
20	20	111/2	111/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	175									47							
20	20	56	56	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	176									47							
20	20	113/2	113/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	177																
20	20	111/2	111/2	0.5	3/8	3/8	Chord	6/8	3	2	1/8		1/8	1	178																
20	20	54	54	0.0	0	0	Spanner	6/8	4	1	0																				
20	20	54	54	0.0	0	0	Spanner	6/8	4	1	0																		5	5	
20	20	109/2	109/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	179									48					5	5	
20	20	55	55	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	180									48					5	5	
20	20	111/2	111/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	181									48					5	5	
20	20	56	56	0.5	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	182									48					5	5	
20	20	113/2	113/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	183														5	5	
21	21	57	57	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0								
21	21	59	59	0.0	1/2	1/2	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0								
21	21	57	57	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	184									49							
21	21	58	58	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	185																
21	21	59	59	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	186		articStaccatoBelow							50							
21	21	119/2	119/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	187		articStaccatoBelow														
21	21	57	57	0.0	0	0	StaffText	6/8	4	1	0							col. Ped.													
21	21	57	57	0.0	0	0	Spanner	6/8	4	1	0																		6		
21	21	57	57	0.0	0	0	Spanner	6/8	4	1	0																		6		
21	21	115/2	115/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	188									51					6		
21	21	58	58	0.5	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	189									51					6		
21	21	117/2	117/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	190									51					6		
