mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_ritard.	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
23	23	363/4	363/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	264										
23	23	727/8	727/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	265										
23	23	91	91	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	266										
23	23	729/8	729/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	267										
23	23	365/4	365/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	268										
23	23	731/8	731/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	269										
23	23	183/2	183/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	270										
23	23	733/8	733/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	271										
23	23	367/4	367/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	272										
23	23	735/8	735/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	273										
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	274				27						
24	24	94	94	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	275				27						
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	276				27						
24	24	92	92	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	277										
24	24	737/8	737/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	278										
24	24	369/4	369/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	279										
24	24	739/8	739/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	280										
24	24	185/2	185/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	281										
24	24	741/8	741/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	282										
24	24	371/4	371/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	283										
24	24	743/8	743/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	284										
24	24	93	93	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	285										
24	24	745/8	745/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	286										
24	24	373/4	373/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	287										
24	24	747/8	747/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	288										
24	24	187/2	187/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	289										
24	24	749/8	749/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	290										
24	24	375/4	375/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	291										
24	24	751/8	751/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	292										
24	24	94	94	0.125	1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	293										
24	24	753/8	753/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32		1/32	1	294										
24	24	377/4	377/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	295										
24	24	755/8	755/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	296										
24	24	189/2	189/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	297										
24	24	757/8	757/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	298										
24	24	379/4	379/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	299										
24	24	759/8	759/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	300										
24	24	95	95	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	301										
24	24	761/8	761/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	302										
24	24	381/4	381/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	303										
24	24	763/8	763/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	304										
24	24	191/2	191/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	305										
24	24	765/8	765/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	306										
24	24	383/4	383/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	307										
24	24	767/8	767/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	308										
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	309				27						
25	25	98	98	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	310										
25	25	96	96	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	311										
25	25	769/8	769/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	312										
25	25	385/4	385/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	313										
25	25	771/8	771/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	314										
25	25	193/2	193/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	315										
25	25	773/8	773/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	316										
25	25	387/4	387/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	317										
25	25	775/8	775/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	318										
25	25	97	97	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	319										
25	25	777/8	777/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	320										
25	25	389/4	389/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	321										
25	25	779/8	779/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	322										
25	25	195/2	195/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	323										
25	25	781/8	781/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	324										
25	25	391/4	391/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	325										
25	25	783/8	783/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	326										
25	25	98	98	0.125	1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	327										
25	25	785/8	785/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32		1/32	1	328										
25	25	393/4	393/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	329										
25	25	787/8	787/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	330										
25	25	197/2	197/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	331										
25	25	789/8	789/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	332										
25	25	395/4	395/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	333										
25	25	791/8	791/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	334										
25	25	99	99	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	335										
25	25	793/8	793/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	336										
25	25	397/4	397/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	337										
25	25	795/8	795/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	338										
25	25	199/2	199/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	339										
25	25	797/8	797/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	340										
25	25	399/4	399/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	341										
25	25	799/8	799/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	342										
26	26	102	102	0.0	1/2	1/2	Dynamic	4/4	1	1	0					pp									
26	26	102	102	0.0	1/2	1/2	Spanner	4/4	1	1	0											3			
26	26	102	102	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	343							3			
26	26	817/8	817/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	344							3			
26	26	409/4	409/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	345							3			
26	26	819/8	819/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	346							3			
26	26	205/2	205/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	347							3			
26	26	821/8	821/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	348							3			
26	26	411/4	411/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	349							3			
26	26	823/8	823/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	350							3			
26	26	103	103	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	351							3			
26	26	825/8	825/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	352							3			
26	26	413/4	413/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	353							3			
26	26	827/8	827/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	354							3			
26	26	207/2	207/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	355							3			
26	26	829/8	829/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	356							3			
26	26	415/4	415/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	357							3			
26	26	831/8	831/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	358							3			
26	26	100	100	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	359										
26	26	801/8	801/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	360										
26	26	401/4	401/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	361										
26	26	803/8	803/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	362										
26	26	201/2	201/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	363										
26	26	805/8	805/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	364										
26	26	403/4	403/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	365										
26	26	807/8	807/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	366										
26	26	101	101	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	367										
26	26	809/8	809/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	368										
26	26	405/4	405/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	369										
26	26	811/8	811/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	370										
26	26	203/2	203/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	371										
26	26	813/8	813/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	372										
26	26	407/4	407/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	373										
26	26	815/8	815/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	374										
26	26	823/8	823/8	0.0	23/32	23/32	Dynamic	4/4	2	1	0					f									
26	26	823/8	823/8	0.0	23/32	23/32	StaffText	4/4	2	1	0							"<font size=""12""/><i>marcato</i>"							
26	26	823/8	823/8	0.0	23/32	23/32	Spanner	4/4	2	1	0											4			
26	26	823/8	823/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	375							4			
26	26	103	103	0.875	3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	376							4			
26	26	831/8	831/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	377							4			
27	27	104	104	0.0	0	0	Spanner	4/4	1	1	0														
27	27	104	104	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	378										
27	27	833/8	833/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	379										
27	27	417/4	417/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	380										
27	27	835/8	835/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	381										
27	27	209/2	209/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	382										
27	27	837/8	837/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	383										
27	27	419/4	419/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	384										
27	27	839/8	839/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	385										
27	27	105	105	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	386										
27	27	841/8	841/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	387										
27	27	421/4	421/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	388										
27	27	843/8	843/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	389										
27	27	211/2	211/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	390										
27	27	845/8	845/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	391										
27	27	423/4	423/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	392										
27	27	847/8	847/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	393										
27	27	106	106	0.0	1/2	1/2	Spanner	4/4	1	1	0												0		
27	27	106	106	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	394								0		
27	27	849/8	849/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	395								0		
27	27	425/4	425/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	396								0		
27	27	851/8	851/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	397								0		
27	27	213/2	213/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	398								0		
27	27	853/8	853/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	399								0		
27	27	427/4	427/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	400								0		
27	27	855/8	855/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	401								0		
27	27	107	107	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	402								0		
27	27	857/8	857/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	403								0		
27	27	429/4	429/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	404								0		
27	27	859/8	859/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	405								0		
27	27	215/2	215/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	406								0		
27	27	861/8	861/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	407								0		
27	27	431/4	431/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	408								0		
27	27	863/8	863/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	409								0		
27	27	104	104	0.0	0	0	Spanner	4/4	2	1	0														
27	27	104	104	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	410		articMarcatoAbove								
27	27	855/8	855/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	411										
27	27	107	107	0.875	3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	412										
27	27	863/8	863/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	413										
28	28	108	108	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	414								0		
28	28	865/8	865/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	415								0		
28	28	433/4	433/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	416								0		
28	28	867/8	867/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	417								0		
28	28	217/2	217/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	418								0		
28	28	869/8	869/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	419								0		
28	28	435/4	435/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	420								0		
28	28	871/8	871/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	421								0		
28	28	109	109	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	422								0		
28	28	873/8	873/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	423								0		
28	28	437/4	437/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	424								0		
28	28	875/8	875/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	425								0		
28	28	219/2	219/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	426								0		
28	28	877/8	877/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	427								0		
28	28	439/4	439/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	428								0		
28	28	879/8	879/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	429								0		
28	28	110	110	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	430								0		
28	28	881/8	881/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	431								0		
28	28	441/4	441/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	432								0		
28	28	883/8	883/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	433								0		
28	28	221/2	221/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	434								0		
28	28	885/8	885/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	435								0		
28	28	443/4	443/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	436								0		
28	28	887/8	887/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	437								0		
28	28	111	111	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	438								0		
28	28	889/8	889/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	439								0		
28	28	445/4	445/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	440								0		
28	28	891/8	891/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	441								0		
28	28	223/2	223/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	442								0		
28	28	893/8	893/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	443								0		
28	28	447/4	447/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	444								0		
28	28	895/8	895/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	445								0		
28	28	108	108	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	446		articMarcatoAbove		28						
28	28	111	111	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	447				28						
29	29	112	112	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	448								0		
29	29	897/8	897/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	449								0		
29	29	449/4	449/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	450								0		
29	29	899/8	899/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	451								0		
29	29	225/2	225/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	452								0		
29	29	901/8	901/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	453								0		
29	29	451/4	451/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	454								0		
29	29	903/8	903/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	455								0		
29	29	113	113	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	456								0		
29	29	905/8	905/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	457								0		
29	29	453/4	453/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	458								0		
29	29	907/8	907/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	459								0		
29	29	227/2	227/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	460								0		
29	29	909/8	909/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	461								0		
29	29	455/4	455/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	462								0		
29	29	911/8	911/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	463								0		
29	29	114	114	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	464								0		
29	29	913/8	913/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	465								0		
29	29	457/4	457/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	466								0		
29	29	915/8	915/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	467								0		
29	29	229/2	229/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	468								0		
29	29	917/8	917/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	469								0		
29	29	459/4	459/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	470								0		
29	29	919/8	919/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	471								0		
29	29	115	115	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	472								0		
29	29	921/8	921/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	473								0		
29	29	461/4	461/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	474								0		
29	29	923/8	923/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	475								0		
29	29	231/2	231/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	476								0		
29	29	925/8	925/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	477								0		
29	29	463/4	463/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	478								0		
29	29	927/8	927/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	479								0		
29	29	112	112	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	480				28						
29	29	114	114	1.75	1/2	1/2	Chord	4/4	2	1	7/16		1/4	7/4	481				28						
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	482				28						
30	30	116	116	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	483								0		
30	30	929/8	929/8	0.0	1/32	1/32	Spanner	4/4	1	1	0														
30	30	929/8	929/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	484										
30	30	465/4	465/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	485										
30	30	931/8	931/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	486										
30	30	233/2	233/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	487										
30	30	933/8	933/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	488										
30	30	467/4	467/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	489										
30	30	935/8	935/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	490										
30	30	117	117	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	491										
30	30	937/8	937/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	492										
30	30	469/4	469/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	493										
30	30	939/8	939/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	494										
30	30	235/2	235/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	495										
30	30	941/8	941/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	496										
30	30	471/4	471/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	497										
30	30	943/8	943/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	498										
30	30	118	118	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	499										
30	30	945/8	945/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	500										
30	30	473/4	473/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	501										
30	30	947/8	947/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	502										
30	30	237/2	237/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	503										
30	30	949/8	949/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	504										
30	30	475/4	475/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	505										
30	30	951/8	951/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	506										
30	30	119	119	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	507										
30	30	953/8	953/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	508										
30	30	477/4	477/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	509										
30	30	955/8	955/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	510										
30	30	239/2	239/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	511										
30	30	957/8	957/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	512										
30	30	479/4	479/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	513										
30	30	959/8	959/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	514										
30	30	116	116	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	515		articAccentAbove		28						
30	30	118	118	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	516										
30	30	951/8	951/8	0.0	23/32	23/32	Dynamic	4/4	2	1	0					ff									
30	30	951/8	951/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	517										
30	30	119	119	0.0	3/4	3/4	StaffText	4/4	2	1	0							"<font size=""12""/>vibrato"							
30	30	119	119	0.875	3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	518										
30	30	959/8	959/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	519										
31	31	120	120	0.0	0	0	Dynamic	4/4	1	1	0					pp									
31	31	120	120	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	520										
31	31	961/8	961/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	521										
31	31	481/4	481/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	522										
31	31	963/8	963/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	523										
31	31	241/2	241/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	524										
31	31	965/8	965/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	525										
31	31	483/4	483/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	526										
31	31	967/8	967/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	527										
31	31	121	121	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	528										
31	31	969/8	969/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	529										
31	31	485/4	485/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	530										
31	31	971/8	971/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	531										
31	31	243/2	243/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	532										
31	31	973/8	973/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	533										
31	31	487/4	487/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	534										
31	31	975/8	975/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	535										
