mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	Ottava:8va	Ottava:8vb
94	94	371	371	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1392		articStaccatoAbove												
94	94	1114/3	1114/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1393		articStaccatoAbove												
94	94	1115/3	1115/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1394		articStaccatoAbove												
94	94	372	372	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1395		articStaccatoAbove												
94	94	1117/3	1117/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1396		articStaccatoAbove												
94	94	1118/3	1118/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1397		articStaccatoAbove												
94	94	373	373	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1398		articStaccatoAbove												
94	94	1120/3	1120/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1399		articStaccatoAbove												
94	94	1121/3	1121/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1400		articStaccatoAbove												
94	94	370	370	0.3333333333333333	0	0	Chord	4/4	2	1	1/12			1/8	2/3	1401														
94	94	1111/3	1111/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12			1/8	2/3	1402														
94	94	1112/3	1112/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12			1/8	2/3	1403														
94	94	371	371	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12			1/8	2/3	1404														
94	94	1114/3	1114/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12			1/8	2/3	1405														
94	94	1115/3	1115/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12			1/8	2/3	1406														
94	94	372	372	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12			1/8	2/3	1407														
94	94	1117/3	1117/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12			1/8	2/3	1408														
94	94	1118/3	1118/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12			1/8	2/3	1409														
94	94	373	373	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12			1/8	2/3	1410														
94	94	1120/3	1120/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12			1/8	2/3	1411														
94	94	1121/3	1121/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12			1/8	2/3	1412														
95	95	374	374	0.0	0	0	Spanner	4/4	1	1	0																		12	
95	95	374	374	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1413		articStaccatoBelow											12	
95	95	1123/3	1123/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1414		articStaccatoBelow											12	
95	95	1124/3	1124/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1415		articStaccatoBelow											12	
95	95	375	375	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1416		articStaccatoBelow											12	
95	95	1126/3	1126/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1417		articStaccatoBelow											12	
95	95	1127/3	1127/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1418		articStaccatoBelow											12	
95	95	376	376	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1419		articStaccatoAbove											12	
95	95	1129/3	1129/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1420		articStaccatoAbove											12	
95	95	1130/3	1130/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1421		articStaccatoAbove											12	
95	95	377	377	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1422		articStaccatoAbove											12	
95	95	1132/3	1132/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1423		articStaccatoAbove											12	
95	95	1133/3	1133/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1424		articStaccatoAbove											12	
95	95	374	374	0.0	0	0	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Opus Text Std""/>P"											
95	95	374	374	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	1425														
95	95	1499/4	1499/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1426														
95	95	375	375	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	1427		articMarcatoAbove												
95	95	376	376	0.0	1/2	1/2	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Opus Text Std""/>P"											
95	95	376	376	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	1428														
95	95	1507/4	1507/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1429														
95	95	377	377	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	1430		articMarcatoAbove												
96	96	378	378	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1431		articStaccatoBelow											12	
96	96	1135/3	1135/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1432		articStaccatoBelow											12	
96	96	1136/3	1136/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1433		articStaccatoBelow											12	
96	96	379	379	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1434		articStaccatoBelow											12	
96	96	1138/3	1138/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1435		articStaccatoBelow											12	
96	96	1139/3	1139/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1436		articStaccatoBelow											12	
96	96	380	380	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1437		articStaccatoAbove											12	
96	96	1141/3	1141/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1438		articStaccatoAbove											12	
96	96	1142/3	1142/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1439		articStaccatoAbove											12	
96	96	381	381	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1440		articStaccatoAbove											12	
96	96	1144/3	1144/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1441		articStaccatoAbove											12	
96	96	1145/3	1145/3	0.0	11/12	11/12	Spanner	4/4	1	1	0																18		12	
96	96	1145/3	1145/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1442		articStaccatoAbove									18		12	
96	96	378	378	0.0	0	0	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Opus Text Std""/>P"											
96	96	1515/4	1515/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1443														
96	96	379	379	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	1444		articMarcatoAbove												
96	96	380	380	0.0	1/2	1/2	Spanner	4/4	2	1	0															56				
96	96	380	380	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	1445										56				
96	96	1523/4	1523/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1446										56				
96	96	381	381	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	1447		articMarcatoAbove								56				
96	96	1527/4	1527/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																			
96	96	1527/4	1527/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	1448														
97	97	382	382	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1449		articStaccatoBelow									18		12	
97	97	1147/3	1147/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1450		articStaccatoBelow									18		12	
97	97	1148/3	1148/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1451		articStaccatoBelow									18		12	
97	97	383	383	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1452		articStaccatoAbove									18		12	
97	97	1150/3	1150/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1453		articStaccatoAbove									18		12	
97	97	1151/3	1151/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1454		articStaccatoAbove									18		12	
97	97	384	384	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1455		articStaccatoBelow									18		12	
97	97	1153/3	1153/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1456		articStaccatoBelow									18		12	
97	97	1154/3	1154/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1457		articStaccatoBelow									18		12	
97	97	385	385	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1458		articStaccatoAbove									18		12	
97	97	1156/3	1156/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1459		articStaccatoAbove									18		12	
97	97	1157/3	1157/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1460		articStaccatoAbove									18		12	
97	97	382	382	0.0	0	0	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Opus Text Std""/>P"											
97	97	382	382	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	1461														
97	97	1531/4	1531/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1462														
97	97	383	383	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	1463														
97	97	1535/4	1535/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	1464														
97	97	384	384	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	1465														
97	97	1539/4	1539/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1466														
97	97	385	385	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	1467														
97	97	1543/4	1543/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	1468														
98	98	386	386	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1469		articStaccatoAbove									18		12	
98	98	1159/3	1159/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1470		articStaccatoAbove									18		12	
98	98	1160/3	1160/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1471		articStaccatoAbove									18		12	
98	98	387	387	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1472		articStaccatoAbove									18		12	
98	98	1162/3	1162/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1473		articStaccatoAbove									18		12	
98	98	1163/3	1163/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1474		articStaccatoAbove									18		12	
98	98	388	388	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1475		articStaccatoAbove									18		12	
98	98	1165/3	1165/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1476		articStaccatoAbove									18		12	
98	98	1166/3	1166/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1477		articStaccatoAbove									18		12	
98	98	389	389	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1478		articStaccatoAbove									18		12	
98	98	1168/3	1168/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1479		articStaccatoAbove									18		12	
98	98	1169/3	1169/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1480		articStaccatoAbove									18		12	
98	98	386	386	0.0	0	0	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Opus Text Std""/>P"											
98	98	386	386	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	1481														
98	98	1547/4	1547/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1482														
98	98	387	387	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	1483		articMarcatoAbove												
98	98	388	388	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	1484														
98	98	1555/4	1555/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1485														
98	98	389	389	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	1486		articMarcatoAbove												
99	99	390	390	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1487		articStaccatoAbove									18		12	
99	99	1171/3	1171/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1488		articStaccatoAbove									18		12	
99	99	1172/3	1172/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1489		articStaccatoAbove									18		12	
99	99	391	391	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1490		articStaccatoAbove									18		12	
99	99	1174/3	1174/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1491		articStaccatoAbove									18		12	
99	99	1175/3	1175/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1492		articStaccatoAbove									18		12	
99	99	392	392	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1493		articStaccatoAbove									18		12	
99	99	1177/3	1177/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1494		articStaccatoAbove									18		12	
99	99	1178/3	1178/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1495		articStaccatoAbove									18		12	
99	99	393	393	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1496		articStaccatoAbove									18		12	
99	99	1180/3	1180/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1497		articStaccatoAbove									18		12	
99	99	1181/3	1181/3	0.0	11/12	11/12	Spanner	4/4	1	1	0																		12	
99	99	1181/3	1181/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1498		articStaccatoAbove											12	
99	99	390	390	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	1499														
99	99	1563/4	1563/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1500														
99	99	391	391	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	1501														
99	99	1567/4	1567/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	1502														
99	99	392	392	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	1503														
99	99	1571/4	1571/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1504														
99	99	393	393	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	1505														
99	99	1575/4	1575/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	1506														
100	100	394	394	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1507		articStaccatoAbove											12	
100	100	1183/3	1183/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1508		articStaccatoAbove											12	
100	100	1184/3	1184/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1509		articStaccatoAbove											12	
100	100	395	395	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1510		articStaccatoAbove											12	
100	100	1186/3	1186/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1511		articStaccatoAbove											12	
100	100	1187/3	1187/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1512		articStaccatoAbove											12	
100	100	396	396	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1513		articStaccatoAbove											12	
100	100	1189/3	1189/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1514		articStaccatoAbove											12	
100	100	1190/3	1190/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1515		articStaccatoAbove											12	
100	100	397	397	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1516		articStaccatoAbove											12	
100	100	1192/3	1192/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1517		articStaccatoAbove											12	
100	100	1193/3	1193/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1518		articStaccatoAbove											12	
100	100	394	394	0.0	0	0	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Plantin MT Std""/>rinforz."											
100	100	394	394	0.0	0	0	Spanner	4/4	2	1	0															57				
100	100	394	394	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	1519										57				
100	100	1579/4	1579/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1520										57				
100	100	395	395	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	1521		articMarcatoAbove								57				
100	100	396	396	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	1522										57				
100	100	1587/4	1587/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1523										57				
100	100	397	397	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	1524		articMarcatoAbove								57				
101	101	398	398	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1525		articStaccatoAbove											12	
101	101	1195/3	1195/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1526		articStaccatoAbove											12	
101	101	1196/3	1196/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1527		articStaccatoAbove											12	
101	101	399	399	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1528		articStaccatoAbove											12	
101	101	1198/3	1198/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1529		articStaccatoAbove											12	
101	101	1199/3	1199/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1530		articStaccatoAbove											12	
101	101	400	400	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1531		articStaccatoAbove											12	
101	101	1201/3	1201/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1532		articStaccatoAbove											12	
101	101	1202/3	1202/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1533		articStaccatoAbove											12	
101	101	401	401	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1534		articStaccatoAbove											12	
101	101	1204/3	1204/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1535		articStaccatoAbove											12	
101	101	1205/3	1205/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1536		articStaccatoAbove											12	
101	101	398	398	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	1537										57				
101	101	1595/4	1595/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1538										57				
101	101	399	399	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	1539										57				
101	101	1599/4	1599/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	1540										57				
101	101	400	400	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	1541										57				
101	101	1603/4	1603/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1542										57				
101	101	401	401	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	1543										57				
101	101	1607/4	1607/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	1544										57				
102	102	402	402	0.3333333333333333	0	0	Chord	4/4	1	1	1/12			1/8	2/3	1545		articStaccatoAbove											12	
102	102	1207/3	1207/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12			1/8	2/3	1546		articStaccatoAbove											12	
102	102	1208/3	1208/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12			1/8	2/3	1547		articStaccatoAbove											12	
102	102	403	403	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12			1/8	2/3	1548		articStaccatoAbove											12	
102	102	1210/3	1210/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12			1/8	2/3	1549		articStaccatoAbove											12	
102	102	1211/3	1211/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12			1/8	2/3	1550		articStaccatoAbove											12	
102	102	404	404	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12			1/8	2/3	1551		articStaccatoAbove											12	
102	102	1213/3	1213/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12			1/8	2/3	1552		articStaccatoAbove											12	
102	102	1214/3	1214/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12			1/8	2/3	1553		articStaccatoAbove											12	
102	102	405	405	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12			1/8	2/3	1554		articStaccatoAbove											12	
102	102	1216/3	1216/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12			1/8	2/3	1555		articStaccatoAbove											12	
102	102	1217/3	1217/3	0.0	11/12	11/12	Dynamic	4/4	1	1	0						fff												12	
102	102	1217/3	1217/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12			1/8	2/3	1556		articStaccatoAbove											12	
102	102	402	402	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	1557		articAccentBelow								57				
102	102	1611/4	1611/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	1558										57				
102	102	403	403	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	1559										57				
102	102	1615/4	1615/4	0.0	7/16	7/16	Spanner	4/4	2	1	0																			
102	102	1615/4	1615/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	1560														
102	102	404	404	0.0	1/2	1/2	Spanner	4/4	2	1	0															58				
102	102	404	404	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	1561		articAccentBelow								58				
102	102	1619/4	1619/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	1562										58				
102	102	405	405	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	1563										58				
102	102	1623/4	1623/4	0.0	15/16	15/16	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Plantin MT Std""/>precipitato"											
102	102	1623/4	1623/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																			
102	102	1623/4	1623/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	1564														
103	103	406	406	0.0	0	0	Spanner	4/4	1	1	0																			
103	103	406	406	4.0	0	0	Chord	4/4	1	1	1			1	1	1565		articMarcatoAbove												
103	103	1220/3	1220/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12			1/8	2/3	1566														
103	103	407	407	0.3333333333333333	1/4	1/4	Chord	4/4	1	2	1/12			1/8	2/3	1567														
103	103	1222/3	1222/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	2	1/12			1/8	2/3	1568														
103	103	1223/3	1223/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12			1/8	2/3	1569														
103	103	408	408	0.3333333333333333	1/2	1/2	Chord	4/4	1	2	1/12			1/8	2/3	1570														
103	103	1225/3	1225/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	2	1/12			1/8	2/3	1571														
103	103	1226/3	1226/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12			1/8	2/3	1572														
103	103	409	409	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12			1/8	2/3	1573														
103	103	1228/3	1228/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12			1/8	2/3	1574														
103	103	1229/3	1229/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12			1/8	2/3	1575														
103	103	406	406	0.0	0	0	StaffText	4/4	2	1	0								"<font size=""9.2082""/><font face=""Opus Text Std""/>P"											
103	103	1219/3	1219/3	0.0	1/12	1/12	Dynamic	4/4	2	1	0						sf													
103	103	1219/3	1219/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12			1/8	2/3	1576														
103	103	1220/3	1220/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12			1/8	2/3	1577														
103	103	407	407	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12			1/8	2/3	1578														
103	103	1222/3	1222/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12			1/8	2/3	1579														
103	103	1223/3	1223/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12			1/8	2/3	1580														
103	103	408	408	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12			1/8	2/3	1581														
103	103	1225/3	1225/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12			1/8	2/3	1582														
103	103	1226/3	1226/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12			1/8	2/3	1583														
103	103	409	409	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12			1/8	2/3	1584														
103	103	1228/3	1228/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12			1/8	2/3	1585														
103	103	1229/3	1229/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12			1/8	2/3	1586														
103	103	406	406	4.0	0	0	Chord	4/4	2	2	1			1	1	1587		articMarcatoBelow												
104	104	410	410	0.0	0	0	Spanner	4/4	1	1	0																		13	
104	104	410	410	4.0	0	0	Chord	4/4	1	1	1			1	1	1588		articMarcatoAbove											13	
104	104	1232/3	1232/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12			1/8	2/3	1589													13	
104	104	411	411	0.3333333333333333	1/4	1/4	Chord	4/4	1	2	1/12			1/8	2/3	1590													13	
104	104	1234/3	1234/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	2	1/12			1/8	2/3	1591													13	
104	104	1235/3	1235/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12			1/8	2/3	1592													13	
104	104	412	412	0.3333333333333333	1/2	1/2	Chord	4/4	1	2	1/12			1/8	2/3	1593													13	
104	104	1237/3	1237/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	2	1/12			1/8	2/3	1594													13	
104	104	1238/3	1238/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12			1/8	2/3	1595													13	
104	104	413	413	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12			1/8	2/3	1596													13	
104	104	1240/3	1240/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12			1/8	2/3	1597													13	
104	104	1241/3	1241/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12			1/8	2/3	1598													13	
