mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_poco rall.	decrescendo_hairpin	crescendo_line	Ottava:8va
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	55				8					
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	56									
8	7	25	25	4.0	0	0	Chord	4/4	1	2	1		1	1	57									
8	7	25	25	4.0	0	0	Chord	4/4	2	1	1		1	1	58									
9	8	29	29	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	59									
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	60									
9	8	29	29	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	61									
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	62									
9	8	29	29	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	63									
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	64									
10	9	33	33	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	65				9					
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	66				9					
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	67				9					
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	68				9					
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	69				9					
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	70									
10	9	33	33	4.0	0	0	Chord	4/4	1	2	1		1	1	71									
10	9	33	33	4.0	0	0	Chord	4/4	2	1	1		1	1	72									
11	10	37	37	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	73				10					
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	74				10					
11	10	39	39	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	75				10					
11	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	76				10					
11	10	40	40	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	77				10					
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	78									
11	10	37	37	4.0	0	0	Chord	4/4	1	2	1		1	1	79									
11	10	37	37	4.0	0	0	Chord	4/4	2	1	1		1	1	80									
12	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	81				11					
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	82				11					
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	83				11					
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	84				11					
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	85				11					
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	86				11					
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	87				11					
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	88									
12	11	41	41	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	89									
12	11	43	43	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	90									
12	11	41	41	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	91									
12	11	43	43	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	92									
13	12	45	45	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	93				12					
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	94				12					
13	12	46	46	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	95				12					
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	96				12					
13	12	47	47	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	97				12					
13	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	98				12					
13	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	99				12					
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	100				12					
13	12	45	45	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	101									
13	12	45	45	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	102									
14	13	49	49	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	103				12					
14	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	104				12					
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	105				12					
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	106				12					
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	107				12					
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	108				12					
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	109				12					
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	110									
15	14	53	53	0.0	0	0	Dynamic	4/4	1	1	0					p								
15	14	53	53	4.0	0	0	Chord	4/4	1	1	1		1	1	111									
15	14	53	53	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	112				13					
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	113				13					
15	14	56	56	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	114				13					
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	115									
15	14	53	53	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	116				14					
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	117				14					
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	118									
15	14	53	53	4.0	0	0	Chord	4/4	2	2	1		1	1	119									
16	15	57	57	4.0	0	0	Chord	4/4	1	1	1		1	1	120									
16	15	57	57	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	121				15					
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	122				15					
16	15	60	60	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	123				15					
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	124									
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	3	1/4		1/4	1	125									
16	15	60	60	1.0	3/4	3/4	Chord	4/4	1	3	1/4		1/4	1	126									
16	15	57	57	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	127				16					
16	15	59	59	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	128				16					
16	15	60	60	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	129				16					
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	130									
16	15	57	57	4.0	0	0	Chord	4/4	2	2	1		1	1	131									
17	16	61	61	4.0	0	0	Chord	4/4	1	1	1		1	1	132									
17	16	61	61	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	133				17					
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	134				17					
17	16	64	64	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	135				17					
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	136									
17	16	61	61	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	137				18					
17	16	63	63	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	138				18					
17	16	64	64	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	139									
17	16	61	61	4.0	0	0	Chord	4/4	2	2	1		1	1	140									
18	17	65	65	4.0	0	0	Chord	4/4	1	1	1		1	1	141									
18	17	65	65	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	142				19					
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	143				19					
18	17	68	68	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	144				19					
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	145									
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	3	1/4		1/4	1	146									
18	17	68	68	1.0	3/4	3/4	Chord	4/4	1	3	1/4		1/4	1	147									
18	17	65	65	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	148				20					
18	17	67	67	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	149				20					
18	17	68	68	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	150				20					
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	151									
18	17	65	65	4.0	0	0	Chord	4/4	2	2	1		1	1	152									
19	18	69	69	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	153				21					
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	154									
19	18	69	69	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	155									
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	156									
19	18	69	69	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	157									
19	18	71	71	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	158									
20	19	73	73	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	159				22					
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	160				22					
20	19	75	75	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	161				22					
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	162				22					
20	19	76	76	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	163				22					
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	164									
20	19	73	73	4.0	0	0	Chord	4/4	1	2	1		1	1	165									
20	19	73	73	4.0	0	0	Chord	4/4	2	1	1		1	1	166									
21	20	77	77	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	167				23					
21	20	79	79	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	168									
21	20	77	77	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	169									
21	20	79	79	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	170									
21	20	77	77	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	171									
21	20	79	79	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	172									
22	21	81	81	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	173				24					
22	21	165/2	165/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	174				24					
22	21	83	83	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	175				24					
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	176				24					
22	21	84	84	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	177				24					
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	178									
22	21	81	81	4.0	0	0	Chord	4/4	1	2	1		1	1	179									
22	21	81	81	4.0	0	0	Chord	4/4	2	1	1		1	1	180									
23	22	85	85	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	181				25					
23	22	173/2	173/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	182				25					
23	22	87	87	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	183				25					
23	22	175/2	175/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	184				25					
23	22	88	88	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	185				25					
23	22	177/2	177/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	186									
23	22	85	85	4.0	0	0	Chord	4/4	1	2	1		1	1	187									
23	22	85	85	4.0	0	0	Chord	4/4	2	1	1		1	1	188									
24	23	89	89	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	189				26					
24	23	179/2	179/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	190				26					
24	23	90	90	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	191				26					
24	23	181/2	181/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	192									
24	23	91	91	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	193				27					
24	23	183/2	183/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	194				27					
24	23	92	92	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	195				27					
24	23	185/2	185/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	196									
24	23	89	89	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	197									
24	23	91	91	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	198									
24	23	89	89	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	199									
24	23	91	91	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	200									
25	24	93	93	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	201				28					
25	24	187/2	187/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	202				28					
25	24	94	94	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	203				28					
25	24	189/2	189/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	204				28					
25	24	95	95	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	205				28					
25	24	191/2	191/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	206				28					
25	24	96	96	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	207				28					
25	24	193/2	193/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	208									
25	24	93	93	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	209									
25	24	93	93	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	210									
26	25	97	97	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	211				29					
26	25	195/2	195/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	212				29					
26	25	98	98	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	213				29					
26	25	197/2	197/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	214				29					
26	25	99	99	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	215				29					
26	25	199/2	199/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	216				29					
26	25	100	100	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	217				29					
26	25	201/2	201/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	218									
27	26	104	104	0.0	3/4	3/4	StaffText	4/4	1	1	0							"<font size=""12""/>sempre dolce"						
27	26	104	104	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	219		articStaccatissimoAbove							
27	26	101	101	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	220				30					
27	26	203/2	203/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	221				30					
27	26	102	102	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	222				30					
27	26	205/2	205/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	223				30					
27	26	103	103	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	224				30					
27	26	207/2	207/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	225				30					
27	26	104	104	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	226				30					
27	26	209/2	209/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	227									
27	26	104	104	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	228									
28	27	105	105	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	229				31					
28	27	213/2	213/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	230									
28	27	107	107	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	231		articStaccatoAbove							
28	27	108	108	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	232		articStaccatoAbove							
28	27	105	105	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	233				32					
28	27	211/2	211/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	234				32					
28	27	106	106	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	235				32					
28	27	213/2	213/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	236				32					
28	27	107	107	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	237				32					
28	27	215/2	215/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	238				32					
28	27	108	108	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	239				32					
28	27	217/2	217/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	240									
28	27	108	108	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	241									
29	28	109	109	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	242									
29	28	112	112	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	243		articStaccatissimoAbove							
29	28	109	109	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	244				33					
29	28	219/2	219/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	245				33					
29	28	110	110	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	246				33					
29	28	221/2	221/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	247				33					
29	28	111	111	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	248				33					
29	28	223/2	223/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	249				33					
29	28	112	112	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	250				33					
29	28	225/2	225/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	251									
29	28	112	112	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	252									
30	29	113	113	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	253				34					
30	29	229/2	229/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	254									
30	29	115	115	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	255		articStaccatoAbove							
30	29	116	116	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	256		articStaccatoAbove							
30	29	113	113	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	257				35					
30	29	227/2	227/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	258				35					
30	29	114	114	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	259				35					
30	29	229/2	229/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	260				35					
30	29	115	115	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	261				35					
30	29	231/2	231/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	262				35					
30	29	116	116	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	263				35					
30	29	233/2	233/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	264									
30	29	116	116	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	265									
31	30	117	117	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	266									
31	30	120	120	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	267		articStaccatissimoAbove							
31	30	117	117	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	268				36					
31	30	235/2	235/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	269				36					
31	30	118	118	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	270				36					
31	30	237/2	237/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	271				36					
31	30	119	119	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	272				36					
31	30	239/2	239/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	273				36					
31	30	120	120	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	274				36					
31	30	241/2	241/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	275									
31	30	120	120	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	276									
32	31	121	121	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	277				37					
32	31	245/2	245/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	278									
32	31	123	123	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	279		articStaccatoAbove							
32	31	124	124	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	280		articStaccatoAbove							
32	31	121	121	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	281				38					
32	31	243/2	243/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	282				38					
32	31	122	122	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	283				38					
32	31	245/2	245/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	284				38					
32	31	123	123	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	285				38					
32	31	247/2	247/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	286				38					
32	31	124	124	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	287				38					
32	31	249/2	249/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	288									
32	31	124	124	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	289									
33	32	125	125	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	290									
33	32	128	128	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	291		articStaccatissimoAbove							
33	32	125	125	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	292				39					
