mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
4	3	9	9	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	22		articAccentBelow											
4	3	10	10	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	23													
4	3	11	11	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	24		articAccentBelow											
4	3	12	12	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	25													
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	26		articStaccatoBelow											
4	3	10	10	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	27													
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	28													
4	3	12	12	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	29		articStaccatoBelow											
4	3	17/2	17/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	30		articStaccatoAbove											
4	3	10	10	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	31		articStaccatoAbove											
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	32		articStaccatoAbove											
4	3	12	12	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	33		articStaccatoAbove											
5	4	25/2	25/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	34													
5	4	13	13	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	35		articAccentBelow											
5	4	14	14	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	36													
5	4	15	15	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	37		articAccentBelow											
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	38													
5	4	25/2	25/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	39		articStaccatoBelow											
5	4	14	14	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	40		articStaccatoBelow											
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	41		articStaccatoBelow											
5	4	25/2	25/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	42		articStaccatoAbove											
5	4	14	14	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	43		articStaccatoAbove											
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	44		articStaccatoAbove											
5	4	16	16	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	45													
6	5	33/2	33/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""10.6033""/><font face=""Plantin MT Std""/><b>Adagio</b>"										
6	5	33/2	33/2	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0					
6	5	33/2	33/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	46									0				
6	5	35/2	35/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	47									0				
6	5	73/4	73/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	48									0				
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	49									0				
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	50		articStaccatoBelow							0				
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	51													
6	5	33/2	33/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	52													
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	53													
7	6	41/2	41/2	0.0	0	0	StaffText	14/4	1	1	0							rit.										
7	6	21	21	0.5	1/8	1/8	Chord	14/4	1	1	1/8		1/8	1	54													
7	6	43/2	43/2	0.0	1/4	1/4	Spanner	14/4	1	1	0															0		
7	6	43/2	43/2	0.06666666666666667	1/4	1/4	Chord	14/4	1	1	1/60		1/32	8/15	55											0		
7	6	647/30	647/30	0.06666666666666667	4/15	4/15	Chord	14/4	1	1	1/60		1/32	8/15	56											0		
7	6	649/30	649/30	0.06666666666666667	17/60	17/60	Chord	14/4	1	1	1/60		1/32	8/15	57											0		
7	6	217/10	217/10	0.06666666666666667	3/10	3/10	Chord	14/4	1	1	1/60		1/32	8/15	58											0		
7	6	653/30	653/30	0.06666666666666667	19/60	19/60	Chord	14/4	1	1	1/60		1/32	8/15	59											0		
7	6	131/6	131/6	0.3333333333333333	1/3	1/3	Chord	14/4	1	1	1/12		1/8	2/3	60		articStaccatoAbove									0		
7	6	133/6	133/6	0.3333333333333333	5/12	5/12	Chord	14/4	1	1	1/12		1/8	2/3	61		articStaccatoAbove									0		
7	6	45/2	45/2	0.0	1/2	1/2	Spanner	14/4	1	1	0																	
7	6	45/2	45/2	1.0	1/2	1/2	Chord	14/4	1	1	1/4		1/4	1	62		articAccentAbove											
7	6	47/2	47/2	0.3333333333333333	3/4	3/4	Chord	14/4	1	1	1/12		1/8	2/3	63									1				
7	6	143/6	143/6	0.3333333333333333	5/6	5/6	Chord	14/4	1	1	1/12		1/8	2/3	64									1				
7	6	145/6	145/6	0.3333333333333333	11/12	11/12	Chord	14/4	1	1	1/12		1/8	2/3	65									1				
7	6	49/2	49/2	0.3333333333333333	1	1	Chord	14/4	1	1	1/12		1/8	2/3	66									1				
7	6	149/6	149/6	0.3333333333333333	13/12	13/12	Chord	14/4	1	1	1/12		1/8	2/3	67									1				
7	6	151/6	151/6	0.3333333333333333	7/6	7/6	Chord	14/4	1	1	1/12		1/8	2/3	68									1				
7	6	51/2	51/2	0.5	5/4	5/4	Chord	14/4	1	1	1/8		1/8	1	69		articStaccatoBelow							1				
7	6	26	26	0.5	11/8	11/8	Chord	14/4	1	1	1/8		1/8	1	70													
7	6	53/2	53/2	2.0	3/2	3/2	Chord	14/4	1	1	1/2		1/2	1	71													
7	6	485/18	485/18	0.6666666666666666	29/18	29/18	Chord	14/4	1	1	1/6		1/4	2/3	72													
7	6	497/18	497/18	0.0	16/9	16/9	Spanner	14/4	1	1	0																	
7	6	497/18	497/18	0.2962962962962963	16/9	16/9	Chord	14/4	1	1	2/27		1/4	8/27	73													
7	6	1501/54	1501/54	0.2962962962962963	197/108	197/108	Chord	14/4	1	1	2/27		1/4	8/27	74													
7	6	167/6	167/6	0.2962962962962963	11/6	11/6	Chord	14/4	1	1	2/27		1/4	8/27	75													
7	6	499/18	499/18	0.0	65/36	65/36	Spanner	14/4	1	1	0																	
7	6	499/18	499/18	0.2962962962962963	65/36	65/36	Chord	14/4	1	1	2/27		1/4	8/27	76													
7	6	1499/54	1499/54	0.2962962962962963	49/27	49/27	Chord	14/4	1	1	2/27		1/4	8/27	77													
7	6	43/2	43/2	1.0	1/4	1/4	Chord	14/4	1	2	1/4		1/4	1	78													
7	6	45/2	45/2	1.0	1/2	1/2	Chord	14/4	1	2	1/4		1/4	1	79													
7	6	43/2	43/2	1.0	1/4	1/4	Chord	14/4	2	1	1/4		1/4	1	80													
7	6	45/2	45/2	1.0	1/2	1/2	Chord	14/4	2	1	1/4		1/4	1	81													
8	7	69/2	69/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>molto espressivo"										
8	7	69/2	69/2	0.0	0	0	Dynamic	4/4	1	1	0					f												
8	7	69/2	69/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	82													
8	7	73/2	73/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	83													
8	7	75/2	75/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	84													
8	7	73/2	73/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	85		articStaccatoBelow											
8	7	69/2	69/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
8	7	73/2	73/2	0.0	1/2	1/2	Dynamic	4/4	2	1	0					f												
8	7	73/2	73/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	86													
9	8	77/2	77/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	87		articMarcatoAbove											
9	8	79/2	79/2	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>riten"										
9	8	79/2	79/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	88									2				
9	8	239/6	239/6	0.5	1/3	1/3	Chord	4/4	1	1	1/8		1/8	1	89									2				
9	8	121/3	121/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	90									2				
9	8	81/2	81/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	91													
9	8	42	42	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	92													
9	8	77/2	77/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	93													
9	8	77/2	77/2	0.0	0	0	Spanner	4/4	2	1	0														0			
9	8	77/2	77/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	94		articStaccatoBelow								0			
9	8	81/2	81/2	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
10	9	85/2	85/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	95													
10	9	43	43	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	96		articTenutoBelow											
10	9	44	44	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	97		articTenutoBelow											
10	9	45	45	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	98									3				
10	9	91/2	91/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	99									3				
10	9	46	46	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	100													
10	9	85/2	85/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	101													
10	9	85/2	85/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
10	9	85/2	85/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	102		articStaccatoBelow											
10	9	89/2	89/2	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
10	9	89/2	89/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	103		articStaccatoAbove											
10	9	91/2	91/2	0.0	3/4	3/4	Spanner	4/4	2	1	0														1			
11	10	93/2	93/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	104									4				
11	10	95/2	95/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	105									4				
11	10	193/4	193/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	106									4				
11	10	97/2	97/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	107									4				
11	10	50	50	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	108													
11	10	95/2	95/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	109													
11	10	95/2	95/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	110		articStaccatoAbove								1			
11	10	97/2	97/2	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
12	11	101/2	101/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	111		articTenutoBelow											
12	11	105/2	105/2	0.0	1/2	1/2	Spanner	4/4	1	1	0															2		
12	11	105/2	105/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	112											2		
12	11	107/2	107/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	113											2		
12	11	105/2	105/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	114											2		
12	11	105/2	105/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	115		articStaccatoBelow											
13	12	109/2	109/2	0.0	0	0	Spanner	4/4	1	1	0																	
13	12	109/2	109/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	116		articMarcatoAbove											
13	12	111/2	111/2	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>riten"										
13	12	111/2	111/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	117									5				
13	12	335/6	335/6	0.5	1/3	1/3	Chord	4/4	1	1	1/8		1/8	1	118									5				
13	12	169/3	169/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	119									5				
13	12	113/2	113/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	120													
13	12	58	58	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	121													
13	12	109/2	109/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	122													
13	12	109/2	109/2	0.0	0	0	Spanner	4/4	2	1	0														2			
13	12	109/2	109/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	123		articStaccatoBelow								2			
13	12	113/2	113/2	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
14	13	117/2	117/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	124													
14	13	59	59	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	125									6				
14	13	119/2	119/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	126									6				
14	13	60	60	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	127									6				
14	13	121/2	121/2	0.0	1/2	1/2	Spanner	4/4	1	1	0													6		3		
14	13	121/2	121/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	128									6		3		
14	13	61	61	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	129									6		3		
14	13	123/2	123/2	0.0	3/4	3/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	130									6		3		
14	13	123/2	123/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	131									6		3		
14	13	249/4	249/4	0.0	15/16	15/16	Spanner	4/4	1	1	0																	
14	13	249/4	249/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	132													
14	13	117/2	117/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
14	13	117/2	117/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	133		articStaccatoAbove											
14	13	121/2	121/2	0.0	1/2	1/2	Spanner	4/4	2	1	0														3			
14	13	121/2	121/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	134		articStaccatoAbove								3			
14	13	123/2	123/2	0.0	3/4	3/4	Spanner	4/4	2	1	0																	
15	14	125/2	125/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	135		articAccentBelow							7				
15	14	129/2	129/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	136													
15	14	125/2	125/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
15	14	127/2	127/2	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	137													
15	14	191/3	191/3	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	138													
15	14	383/6	383/6	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	139													
15	14	64	64	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	140													
15	14	385/6	385/6	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	141													
15	14	193/3	193/3	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	142													
16	15	135/2	135/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	143													
16	15	133/2	133/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
16	15	133/2	133/2	0.0	0	0	Dynamic	4/4	2	1	0					f												
16	15	133/2	133/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>marcato"										
16	15	133/2	133/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	144		articTenutoAbove											
16	15	137/2	137/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	145													
16	15	139/2	139/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	146													
16	15	135/2	135/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	147													
17	16	143/2	143/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	148													
17	16	141/2	141/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
17	16	141/2	141/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	149													
17	16	71	71	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	150													
17	16	72	72	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	151													
17	16	145/2	145/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	152													
17	16	143/2	143/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	153													
18	17	151/2	151/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	154													
18	17	149/2	149/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
18	17	149/2	149/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	155		articAccentAbove											
18	17	153/2	153/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	156													
18	17	155/2	155/2	0.2	3/4	3/4	Chord	4/4	2	1	1/20		1/16	4/5	157													
18	17	777/10	777/10	0.2	4/5	4/5	Chord	4/4	2	1	1/20		1/16	4/5	158													
18	17	779/10	779/10	0.2	17/20	17/20	Chord	4/4	2	1	1/20		1/16	4/5	159													
18	17	781/10	781/10	0.2	9/10	9/10	Chord	4/4	2	1	1/20		1/16	4/5	160													
18	17	783/10	783/10	0.2	19/20	19/20	Chord	4/4	2	1	1/20		1/16	4/5	161													
18	17	151/2	151/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	162													
19	18	159/2	159/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	163													
19	18	157/2	157/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
19	18	157/2	157/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	164													
19	18	79	79	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	165													
19	18	80	80	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	166													
19	18	161/2	161/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	167													
19	18	82	82	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	168													
19	18	159/2	159/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	169													
20	19	167/2	167/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	170													
20	19	165/2	165/2	0.0	0	0	Spanner	4/4	2	1	0														4			
20	19	165/2	165/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	171										4			
20	19	83	83	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	172										4			
20	19	84	84	0.0	3/8	3/8	Spanner	4/4	2	1	0														4	4		
20	19	84	84	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	173										4	4		
20	19	169/2	169/2	0.0	1/2	1/2	Spanner	4/4	2	1	0														4			
20	19	169/2	169/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	174										4			
20	19	85	85	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	175										4			
20	19	171/2	171/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	176										4			
20	19	86	86	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	177										4			
20	19	167/2	167/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	178										4			
21	20	173/2	173/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>riten"										
21	20	173/2	173/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>cantabile con passione, senza slentare"										
21	20	173/2	173/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	179										4			
21	20	87	87	0.0	1/8	1/8	Spanner	4/4	2	1	0																	
21	20	87	87	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	180													
21	20	88	88	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	181													
21	20	177/2	177/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	182													
21	20	89	89	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	183													
21	20	179/2	179/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	184													
21	20	361/4	361/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	185													
22	21	181/2	181/2	0.0	0	0	Dynamic	4/4	1	1	0					f												
22	21	181/2	181/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	186													
22	21	185/2	185/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	187													
22	21	187/2	187/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	188													
22	21	181/2	181/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
22	21	181/2	181/2	0.0	0	0	Dynamic	4/4	2	1	0					p												
22	21	545/6	545/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	189													
22	21	547/6	547/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	190													
22	21	183/2	183/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	191													
22	21	551/6	551/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	192													
22	21	553/6	553/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	193													
22	21	185/2	185/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	194													
22	21	557/6	557/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	195													
22	21	559/6	559/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	196													
22	21	187/2	187/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	197													
22	21	563/6	563/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	198													
22	21	565/6	565/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	199													
23	22	189/2	189/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	200		articAccentAbove							8				
23	22	191/2	191/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	201									8				
23	22	575/6	575/6	0.5	1/3	1/3	Chord	4/4	1	1	1/8		1/8	1	202									8				
23	22	289/3	289/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	203									8				
23	22	193/2	193/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	204													
23	22	98	98	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	205									9				
23	22	569/6	569/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
23	22	569/6	569/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	206													
23	22	571/6	571/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	207													
23	22	191/2	191/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	208													
23	22	575/6	575/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	209													
23	22	577/6	577/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	210													
23	22	193/2	193/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	211													
23	22	581/6	581/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	212													
23	22	583/6	583/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	213													
23	22	195/2	195/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	214													
