mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
11	11	122/3	122/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	106		articStaccatoBelow						
11	11	41	41	0.0	1/4	1/4	StaffText	4/4	1	1	0							accel.					
11	11	41	41	0.6666666666666666	1/4	1/4	Chord	4/4	1	1	1/6		1/4	2/3	107		articTenutoBelow		29				
11	11	125/3	125/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	108		articStaccatoBelow						
11	11	42	42	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	109		articTenutoBelow		30				
11	11	128/3	128/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	110		articStaccatoBelow						
11	11	43	43	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	111		articTenutoBelow		31				
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	112		articStaccatoBelow						
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	113								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	114								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	115								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	116								
12	12	44	44	0.0	0	0	Dynamic	4/4	1	1	0					p							
12	12	44	44	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>dolce"					
12	12	44	44	0.0	0	0	StaffText	4/4	1	1	0							Andantino					
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	117		articStaccatoBelow		32				
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	118		articStaccatoBelow		32				
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	119		articStaccatoBelow		32				
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	120		articStaccatoBelow		32				
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	121		articStaccatoBelow		32				
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	122		articStaccatoBelow		32				
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	123		articStaccatoBelow		32				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	124		articStaccatoBelow						
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	125		articStaccatoAbove		33				
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	126		articStaccatoAbove		33				
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	127		articStaccatoAbove		33				
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	128		articStaccatoAbove		33				
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	129		articStaccatoAbove		33				
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	130		articStaccatoAbove		33				
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	131		articStaccatoAbove		33				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	132		articStaccatoAbove						
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	133		articStaccatoBelow		34				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	134		articStaccatoBelow		34				
13	13	49	49	0.0	1/4	1/4	StaffText	4/4	1	1	0							cresc.	34				
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	135		articStaccatoBelow		34				
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	136		articStaccatoBelow		34				
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	137		articStaccatoBelow		34				
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	138		articStaccatoBelow		34				
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	139		articStaccatoBelow		34				
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	140		articStaccatoBelow						
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	141		articStaccatoAbove		35				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	142		articStaccatoAbove		35				
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	143		articStaccatoAbove		35				
