mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	Ottava:8va
7	7	77/2	77/2	0.5	5/8	5/8	Chord	6/4	1	2	1/8	1/8	1	35				2							
7	7	36	36	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	36											
7	7	41	41	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	37											
8	8	43	43	0.0	1/4	1/4	Spanner	6/4	1	1	0										3				
8	8	43	43	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	38							3				
8	8	45	45	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	39							3				
8	8	46	46	0.0	1	1	Spanner	6/4	1	1	0														
8	8	43	43	1.5	1/4	1/4	Chord	6/4	1	2	3/8	1/4	3/2	40											
8	8	89/2	89/2	0.5	5/8	5/8	Chord	6/4	1	2	1/8	1/8	1	41											
8	8	42	42	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	42											
9	9	48	48	0.0	0	0	Dynamic	6/4	1	1	0				ppp										
9	9	48	48	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	43				3							
9	9	97/2	97/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	44				3							
9	9	49	49	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	45				3							
9	9	99/2	99/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	46				3							
9	9	50	50	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	47				3							
9	9	101/2	101/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	48				3							
9	9	51	51	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	49				3							
9	9	103/2	103/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	50				3							
9	9	52	52	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	51				3							
9	9	105/2	105/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	52				3							
9	9	53	53	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	53				3							
9	9	107/2	107/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	54				3							
9	9	48	48	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	55											
9	9	51	51	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	56											
9	9	48	48	0.0	0	0	StaffText	6/4	2	1	0						<i>una corda</i>								
9	9	48	48	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	57											
9	9	51	51	3.0	3/4	3/4	Chord	6/4	2	1	3/4	1/2	3/2	58											
9	9	48	48	6.0	0	0	Chord	6/4	2	2	3/2	1	3/2	59											
10	10	54	54	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	60				3							
10	10	109/2	109/2	1.0	1/8	1/8	Chord	6/4	1	1	1/4	1/4	1	61				3							
10	10	111/2	111/2	1.0	3/8	3/8	Chord	6/4	1	1	1/4	1/4	1	62				3							
10	10	113/2	113/2	1.0	5/8	5/8	Chord	6/4	1	1	1/4	1/4	1	63				3							
10	10	115/2	115/2	1.0	7/8	7/8	Chord	6/4	1	1	1/4	1/4	1	64				3							
10	10	117/2	117/2	1.0	9/8	9/8	Chord	6/4	1	1	1/4	1/4	1	65				3							
10	10	119/2	119/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	66											
10	10	54	54	1.0	0	0	Chord	6/4	1	2	1/4	1/4	1	67											
10	10	55	55	0.0	1/4	1/4	StaffText	6/4	2	1	0						<i>dolcissimo</i>								
10	10	55	55	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	68				4							
10	10	56	56	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	69				4							
10	10	57	57	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	70				4							
10	10	58	58	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	71				4							
10	10	59	59	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	72											
11	11	60	60	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	73				5							
11	11	121/2	121/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	74				5							
11	11	61	61	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	75				5							
11	11	123/2	123/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	76				5							
11	11	62	62	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	77				5							
11	11	125/2	125/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	78				5							
11	11	63	63	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	79				5							
11	11	127/2	127/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	80				5							
11	11	64	64	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	81				5							
11	11	129/2	129/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	82				5							
11	11	65	65	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	83				5							
11	11	131/2	131/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	84				5							
11	11	60	60	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	85											
11	11	63	63	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	86											
11	11	60	60	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	87											
11	11	63	63	3.0	3/4	3/4	Chord	6/4	2	1	3/4	1/2	3/2	88											
11	11	60	60	6.0	0	0	Chord	6/4	2	2	3/2	1	3/2	89											
12	12	66	66	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	90				5							
12	12	133/2	133/2	1.0	1/8	1/8	Chord	6/4	1	1	1/4	1/4	1	91				5							
12	12	135/2	135/2	1.0	3/8	3/8	Chord	6/4	1	1	1/4	1/4	1	92				5							
12	12	137/2	137/2	1.0	5/8	5/8	Chord	6/4	1	1	1/4	1/4	1	93				5							
12	12	139/2	139/2	1.0	7/8	7/8	Chord	6/4	1	1	1/4	1/4	1	94				5							
12	12	141/2	141/2	1.0	9/8	9/8	Chord	6/4	1	1	1/4	1/4	1	95				5							
12	12	143/2	143/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	96											
12	12	66	66	1.0	0	0	Chord	6/4	1	2	1/4	1/4	1	97											
12	12	67	67	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	98				6							
12	12	68	68	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	99				6							
12	12	69	69	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	100				6							
12	12	70	70	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	101				6							
12	12	71	71	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	102											
13	13	72	72	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	103				7							
13	13	145/2	145/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	104				7							
13	13	73	73	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	105				7							
13	13	147/2	147/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	106				7							
13	13	74	74	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	107				7							
13	13	149/2	149/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	108				7							
13	13	75	75	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	109				7							
13	13	151/2	151/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	110				7							
13	13	76	76	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	111				7							
13	13	153/2	153/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	112				7							
13	13	77	77	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	113				7							
13	13	155/2	155/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	114											
13	13	72	72	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	115											
13	13	72	72	0.5	0	0	Chord	6/4	2	1	1/8	1/8	1	116				8							
13	13	145/2	145/2	0.5	1/8	1/8	Chord	6/4	2	1	1/8	1/8	1	117				8							
13	13	73	73	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	118											
13	13	75	75	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	119											
14	14	78	78	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	120				9							
14	14	157/2	157/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	121				9							
14	14	79	79	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	122				9							
14	14	159/2	159/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	123				9							
14	14	80	80	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	124				9							
14	14	161/2	161/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	125				9							
14	14	81	81	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	126				9							
14	14	163/2	163/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	127				9							
14	14	82	82	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	128				9							
14	14	165/2	165/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	129				9							
14	14	83	83	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	130				9							
14	14	167/2	167/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	131											
14	14	78	78	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	132											
14	14	78	78	0.5	0	0	Chord	6/4	2	1	1/8	1/8	1	133				10							
14	14	157/2	157/2	0.5	1/8	1/8	Chord	6/4	2	1	1/8	1/8	1	134				10							
14	14	79	79	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	135											
14	14	81	81	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	136											
15	15	84	84	0.0	0	0	StaffText	6/4	1	1	0						poco a poco più di moto								
15	15	84	84	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	137				11							
15	15	169/2	169/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	138				11							
15	15	85	85	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	139				11							
15	15	171/2	171/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	140				11							
15	15	86	86	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	141				11							
15	15	173/2	173/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	142											
15	15	87	87	3.0	3/4	3/4	Chord	6/4	1	1	3/4	1/2	3/2	143				12							
15	15	84	84	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	144											
15	15	87	87	0.5	3/4	3/4	Chord	6/4	1	2	1/8	1/8	1	145											
15	15	175/2	175/2	0.5	7/8	7/8	Chord	6/4	1	2	1/8	1/8	1	146											
15	15	88	88	0.5	1	1	Chord	6/4	1	2	1/8	1/8	1	147											
15	15	177/2	177/2	0.5	9/8	9/8	Chord	6/4	1	2	1/8	1/8	1	148											
15	15	89	89	0.5	5/4	5/4	Chord	6/4	1	2	1/8	1/8	1	149											
15	15	179/2	179/2	0.5	11/8	11/8	Chord	6/4	1	2	1/8	1/8	1	150											
15	15	84	84	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	151											
15	15	87	87	3.0	3/4	3/4	Chord	6/4	2	1	3/4	1/2	3/2	152											
15	15	84	84	3.0	0	0	Chord	6/4	2	2	3/4	1/2	3/2	153											
15	15	87	87	3.0	3/4	3/4	Chord	6/4	2	2	3/4	1/2	3/2	154											
16	16	90	90	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	155				12							
16	16	181/2	181/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	156				12							
16	16	91	91	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	157				12							
16	16	183/2	183/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	158				12							
16	16	92	92	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	159				12							
16	16	185/2	185/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	160				12							
16	16	187/2	187/2	1.0	7/8	7/8	Chord	6/4	1	1	1/4	1/4	1	161				12							
16	16	189/2	189/2	1.0	9/8	9/8	Chord	6/4	1	1	1/4	1/4	1	162				12							
16	16	191/2	191/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	163											
16	16	91	91	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	164				13							
16	16	92	92	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	165				13							
16	16	93	93	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	166				13							
16	16	94	94	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	167				13							
16	16	95	95	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	168											
17	17	96	96	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	169				14							
17	17	193/2	193/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	170				14							
17	17	97	97	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	171				14							
17	17	195/2	195/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	172				14							
17	17	98	98	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	173				14							
17	17	197/2	197/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	174											
17	17	99	99	3.0	3/4	3/4	Chord	6/4	1	1	3/4	1/2	3/2	175				15							
17	17	96	96	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	176											
17	17	99	99	0.5	3/4	3/4	Chord	6/4	1	2	1/8	1/8	1	177											
17	17	199/2	199/2	0.5	7/8	7/8	Chord	6/4	1	2	1/8	1/8	1	178											
17	17	100	100	0.5	1	1	Chord	6/4	1	2	1/8	1/8	1	179											
17	17	201/2	201/2	0.5	9/8	9/8	Chord	6/4	1	2	1/8	1/8	1	180											
17	17	101	101	0.5	5/4	5/4	Chord	6/4	1	2	1/8	1/8	1	181											
17	17	203/2	203/2	0.5	11/8	11/8	Chord	6/4	1	2	1/8	1/8	1	182											
17	17	96	96	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	183											
17	17	99	99	3.0	3/4	3/4	Chord	6/4	2	1	3/4	1/2	3/2	184											
17	17	96	96	3.0	0	0	Chord	6/4	2	2	3/4	1/2	3/2	185											
17	17	99	99	3.0	3/4	3/4	Chord	6/4	2	2	3/4	1/2	3/2	186											
18	18	102	102	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	187				15							
18	18	205/2	205/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	188				15							
18	18	103	103	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	189				15							
18	18	207/2	207/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	190				15							
18	18	104	104	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	191				15							
18	18	209/2	209/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	192				15							
18	18	211/2	211/2	1.0	7/8	7/8	Chord	6/4	1	1	1/4	1/4	1	193				15							
18	18	213/2	213/2	1.0	9/8	9/8	Chord	6/4	1	1	1/4	1/4	1	194				15							
18	18	215/2	215/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	195											
18	18	103	103	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	196				16							
18	18	104	104	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	197				16							
18	18	105	105	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	198				16							
18	18	106	106	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	199				16							
18	18	107	107	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	200											
19	19	108	108	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	201											
19	19	217/2	217/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	202											
19	19	109	109	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	203											
19	19	219/2	219/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	204											
19	19	110	110	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	205											
19	19	221/2	221/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	206											
19	19	111	111	0.0	3/4	3/4	StaffText	6/4	1	1	0						poco a poco accel.								
19	19	111	111	0.0	3/4	3/4	Spanner	6/4	1	1	0												0	0	
19	19	111	111	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	207									0	0	
19	19	223/2	223/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	208									0	0	
19	19	112	112	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	209									0	0	
19	19	225/2	225/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	210									0	0	
19	19	113	113	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	211									0	0	
19	19	227/2	227/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	212									0	0	
19	19	108	108	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	213									0	0	
19	19	109	109	0.0	1/4	1/4	StaffText	6/4	2	1	0						tre corde								
19	19	109	109	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	214				17							
19	19	110	110	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	215				17							
19	19	111	111	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	216				17							
19	19	112	112	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	217				17							
19	19	113	113	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	218				17							
20	20	114	114	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	219									0	0	
20	20	229/2	229/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	220									0	0	
20	20	115	115	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	221									0	0	
20	20	231/2	231/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	222									0	0	
20	20	116	116	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	223									0	0	
20	20	233/2	233/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	224									0	0	
20	20	117	117	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	225									0	0	
20	20	235/2	235/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	226									0	0	
20	20	118	118	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	227									0	0	
20	20	237/2	237/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	228									0	0	
20	20	119	119	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	229									0	0	
20	20	239/2	239/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	230									0	0	
20	20	114	114	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	231									0	0	
20	20	114	114	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	232				18							
20	20	115	115	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	233				18							
20	20	116	116	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	234				18							
20	20	117	117	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	235				18							
20	20	118	118	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	236				18							
20	20	119	119	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	237											
21	21	120	120	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	238									0	0	
21	21	241/2	241/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	239									0	0	
21	21	121	121	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	240									0	0	
21	21	243/2	243/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	241									0	0	
21	21	122	122	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	242									0	0	
21	21	245/2	245/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	243									0	0	
21	21	123	123	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	244									0	0	
21	21	247/2	247/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	245									0	0	
21	21	124	124	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	246									0	0	
21	21	249/2	249/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	247									0	0	
21	21	125	125	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	248									0	0	
21	21	251/2	251/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	249									0	0	
21	21	120	120	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	250									0	0	
21	21	121	121	0.0	1/4	1/4	StaffText	6/4	2	1	0						legato								
21	21	121	121	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	251											
21	21	122	122	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	252											
21	21	123	123	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	253											
21	21	124	124	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	254											
21	21	125	125	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	255											
22	22	126	126	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	256									0	0	
22	22	253/2	253/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	257									0	0	
22	22	127	127	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	258									0	0	
22	22	255/2	255/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	259									0	0	
22	22	128	128	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	260									0	0	
22	22	257/2	257/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	261									0	0	
22	22	129	129	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	262									0	0	
22	22	259/2	259/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	263									0	0	
22	22	130	130	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	264									0	0	
22	22	261/2	261/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	265									0	0	
22	22	131	131	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	266									0	0	
22	22	263/2	263/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	267									0	0	
22	22	126	126	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	268									0	0	
22	22	126	126	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	269											
22	22	127	127	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	270											
