mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_poco rall.	TextLine_rall.	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line	Ottava:8va
2	2	11	11	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	62												
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	63												
3	3	12	12	0.0	0	0	Spanner	12/8	1	1	0												0			
3	3	12	12	1.0	0	0	Chord	12/8	1	1	1/4	1/4	1	64									0			
3	3	27/2	27/2	0.0	3/8	3/8	Spanner	12/8	1	1	0															
3	3	27/2	27/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	65												
3	3	15	15	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	66												
3	3	33/2	33/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	67												
3	3	12	12	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	68												
3	3	49/4	49/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	69												
3	3	25/2	25/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	70												
3	3	51/4	51/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	71												
3	3	13	13	0.25	1/4	1/4	Chord	12/8	1	2	1/16	1/16	1	72												
3	3	53/4	53/4	0.25	5/16	5/16	Chord	12/8	1	2	1/16	1/16	1	73												
3	3	27/2	27/2	0.25	3/8	3/8	Chord	12/8	1	2	1/16	1/16	1	74												
3	3	55/4	55/4	0.25	7/16	7/16	Chord	12/8	1	2	1/16	1/16	1	75												
3	3	14	14	0.25	1/2	1/2	Chord	12/8	1	2	1/16	1/16	1	76												
3	3	57/4	57/4	0.25	9/16	9/16	Chord	12/8	1	2	1/16	1/16	1	77												
3	3	29/2	29/2	0.25	5/8	5/8	Chord	12/8	1	2	1/16	1/16	1	78												
3	3	59/4	59/4	0.25	11/16	11/16	Chord	12/8	1	2	1/16	1/16	1	79												
3	3	15	15	0.25	3/4	3/4	Chord	12/8	1	2	1/16	1/16	1	80												
3	3	61/4	61/4	0.25	13/16	13/16	Chord	12/8	1	2	1/16	1/16	1	81												
3	3	31/2	31/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	82												
3	3	63/4	63/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	83												
3	3	16	16	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	84												
3	3	65/4	65/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	85												
3	3	33/2	33/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	86												
3	3	67/4	67/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	87												
3	3	17	17	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	88												
3	3	69/4	69/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	89												
3	3	35/2	35/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	90												
3	3	71/4	71/4	0.25	23/16	23/16	Chord	12/8	1	2	1/16	1/16	1	91												
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	92												
3	3	14	14	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	93												
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	94												
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	95												
3	3	16	16	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	96												
3	3	17	17	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	97												
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	98												
4	4	18	18	1.0	0	0	Chord	12/8	1	1	1/4	1/4	1	99												
4	4	39/2	39/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	100												
4	4	21	21	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	101												
4	4	45/2	45/2	0.0	9/8	9/8	Spanner	12/8	1	1	0												1			
4	4	45/2	45/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	102									1			
4	4	18	18	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	103									1			
4	4	73/4	73/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	104									1			
4	4	37/2	37/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	105									1			
4	4	75/4	75/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	106									1			
4	4	19	19	0.25	1/4	1/4	Chord	12/8	1	2	1/16	1/16	1	107									1			
4	4	77/4	77/4	0.25	5/16	5/16	Chord	12/8	1	2	1/16	1/16	1	108									1			
4	4	39/2	39/2	0.25	3/8	3/8	Chord	12/8	1	2	1/16	1/16	1	109									1			
4	4	79/4	79/4	0.25	7/16	7/16	Chord	12/8	1	2	1/16	1/16	1	110									1			
4	4	20	20	0.25	1/2	1/2	Chord	12/8	1	2	1/16	1/16	1	111									1			
4	4	81/4	81/4	0.25	9/16	9/16	Chord	12/8	1	2	1/16	1/16	1	112									1			
4	4	41/2	41/2	0.25	5/8	5/8	Chord	12/8	1	2	1/16	1/16	1	113									1			
4	4	83/4	83/4	0.25	11/16	11/16	Chord	12/8	1	2	1/16	1/16	1	114									1			
4	4	21	21	0.25	3/4	3/4	Chord	12/8	1	2	1/16	1/16	1	115									1			
4	4	85/4	85/4	0.25	13/16	13/16	Chord	12/8	1	2	1/16	1/16	1	116									1			
4	4	43/2	43/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	117									1			
4	4	87/4	87/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	118									1			
4	4	22	22	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	119									1			
4	4	89/4	89/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	120									1			
4	4	45/2	45/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	121									1			
4	4	91/4	91/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	122									1			
4	4	23	23	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	123									1			
4	4	93/4	93/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	124									1			
4	4	47/2	47/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	125									1			
4	4	95/4	95/4	0.25	23/16	23/16	Chord	12/8	1	2	1/16	1/16	1	126									1			
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	127												
4	4	19	19	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	128												
4	4	20	20	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	129												
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	130												
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	131												
4	4	22	22	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	132												
4	4	23	23	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	133												
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	134												
5	5	24	24	1.0	0	0	Chord	12/8	1	1	1/4	1/4	1	135									1			
5	5	51/2	51/2	0.0	3/8	3/8	Spanner	12/8	1	1	0															
5	5	51/2	51/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	136												
5	5	27	27	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	137												
5	5	57/2	57/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	138												
5	5	24	24	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	139												
5	5	97/4	97/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	140												
5	5	49/2	49/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	141												
5	5	99/4	99/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	142												
5	5	25	25	0.25	1/4	1/4	Chord	12/8	1	2	1/16	1/16	1	143												
5	5	101/4	101/4	0.25	5/16	5/16	Chord	12/8	1	2	1/16	1/16	1	144												
5	5	51/2	51/2	0.25	3/8	3/8	Chord	12/8	1	2	1/16	1/16	1	145												
5	5	103/4	103/4	0.25	7/16	7/16	Chord	12/8	1	2	1/16	1/16	1	146												
5	5	26	26	0.25	1/2	1/2	Chord	12/8	1	2	1/16	1/16	1	147												
5	5	105/4	105/4	0.25	9/16	9/16	Chord	12/8	1	2	1/16	1/16	1	148												
5	5	53/2	53/2	0.25	5/8	5/8	Chord	12/8	1	2	1/16	1/16	1	149												
5	5	107/4	107/4	0.25	11/16	11/16	Chord	12/8	1	2	1/16	1/16	1	150												
5	5	27	27	0.25	3/4	3/4	Chord	12/8	1	2	1/16	1/16	1	151												
5	5	109/4	109/4	0.25	13/16	13/16	Chord	12/8	1	2	1/16	1/16	1	152												
5	5	55/2	55/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	153												
5	5	111/4	111/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	154												
5	5	28	28	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	155												
5	5	113/4	113/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	156												
5	5	57/2	57/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	157												
5	5	115/4	115/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	158												
5	5	29	29	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	159												
5	5	117/4	117/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	160												
5	5	59/2	59/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	161												
5	5	119/4	119/4	0.25	23/16	23/16	Chord	12/8	1	2	1/16	1/16	1	162												
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	163												
5	5	25	25	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	164												
5	5	26	26	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	165												
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	166												
5	5	55/2	55/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	167												
5	5	28	28	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	168												
5	5	29	29	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	169												
5	5	59/2	59/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	170												
6	6	30	30	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	171				0								
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	172												
6	6	31	31	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	173												
6	6	63/2	63/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	174												
6	6	33	33	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	175												
6	6	69/2	69/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	176												
6	6	30	30	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	177												
6	6	121/4	121/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	178												
6	6	61/2	61/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	179												
6	6	123/4	123/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	180												
6	6	31	31	0.25	1/4	1/4	Chord	12/8	1	2	1/16	1/16	1	181												
6	6	125/4	125/4	0.25	5/16	5/16	Chord	12/8	1	2	1/16	1/16	1	182												
6	6	63/2	63/2	0.25	3/8	3/8	Chord	12/8	1	2	1/16	1/16	1	183												
6	6	127/4	127/4	0.25	7/16	7/16	Chord	12/8	1	2	1/16	1/16	1	184												
6	6	32	32	0.25	1/2	1/2	Chord	12/8	1	2	1/16	1/16	1	185												
6	6	129/4	129/4	0.25	9/16	9/16	Chord	12/8	1	2	1/16	1/16	1	186												
6	6	65/2	65/2	0.25	5/8	5/8	Chord	12/8	1	2	1/16	1/16	1	187												
6	6	131/4	131/4	0.25	11/16	11/16	Chord	12/8	1	2	1/16	1/16	1	188												
6	6	33	33	0.25	3/4	3/4	Chord	12/8	1	2	1/16	1/16	1	189												
6	6	133/4	133/4	0.25	13/16	13/16	Chord	12/8	1	2	1/16	1/16	1	190												
6	6	67/2	67/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	191												
6	6	135/4	135/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	192												
6	6	34	34	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	193												
6	6	137/4	137/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	194												
6	6	69/2	69/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	195												
6	6	139/4	139/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	196												
6	6	35	35	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	197												
6	6	141/4	141/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	198												
6	6	71/2	71/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	199												
6	6	143/4	143/4	0.25	23/16	23/16	Chord	12/8	1	2	1/16	1/16	1	200												
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	201												
6	6	31	31	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	202												
6	6	32	32	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	203												
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	204												
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	205												
6	6	34	34	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	206												
6	6	35	35	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	207												
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	208												
7	7	36	36	0.0	0	0	Spanner	12/8	1	1	0												2			
7	7	36	36	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	209				1					2			
7	7	73/2	73/2	0.0	1/8	1/8	Spanner	12/8	1	1	0															
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	210												
7	7	37	37	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	211												
7	7	75/2	75/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	212												
7	7	39	39	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	213												
7	7	81/2	81/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	214												
7	7	36	36	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	215												
7	7	145/4	145/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	216												
7	7	73/2	73/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	217												
7	7	147/4	147/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	218												
7	7	37	37	0.25	1/4	1/4	Chord	12/8	1	2	1/16	1/16	1	219												
7	7	149/4	149/4	0.25	5/16	5/16	Chord	12/8	1	2	1/16	1/16	1	220												
7	7	75/2	75/2	0.25	3/8	3/8	Chord	12/8	1	2	1/16	1/16	1	221												
7	7	151/4	151/4	0.25	7/16	7/16	Chord	12/8	1	2	1/16	1/16	1	222												
7	7	38	38	0.25	1/2	1/2	Chord	12/8	1	2	1/16	1/16	1	223												
7	7	153/4	153/4	0.25	9/16	9/16	Chord	12/8	1	2	1/16	1/16	1	224												
7	7	77/2	77/2	0.25	5/8	5/8	Chord	12/8	1	2	1/16	1/16	1	225												
7	7	155/4	155/4	0.25	11/16	11/16	Chord	12/8	1	2	1/16	1/16	1	226												
7	7	39	39	0.25	3/4	3/4	Chord	12/8	1	2	1/16	1/16	1	227												
7	7	157/4	157/4	0.25	13/16	13/16	Chord	12/8	1	2	1/16	1/16	1	228												
7	7	79/2	79/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	229												
7	7	159/4	159/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	230												
7	7	40	40	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	231												
7	7	161/4	161/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	232												
7	7	81/2	81/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	233												
7	7	163/4	163/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	234												
7	7	41	41	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	235												
7	7	165/4	165/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	236												
7	7	83/2	83/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	237												
7	7	167/4	167/4	0.25	23/16	23/16	Chord	12/8	1	2	1/16	1/16	1	238												
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	239												
7	7	37	37	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	240												
7	7	38	38	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	241												
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	242												
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	243												
7	7	40	40	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	244												
7	7	41	41	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	245												
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	246												
8	8	42	42	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	247				2								
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	248												
8	8	43	43	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	249												
8	8	87/2	87/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	250												
8	8	45	45	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	251												
8	8	93/2	93/2	0.0	9/8	9/8	Spanner	12/8	1	1	0														0	
8	8	93/2	93/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	252											0	
8	8	42	42	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	253											0	
8	8	169/4	169/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	254											0	
8	8	85/2	85/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	255											0	
8	8	171/4	171/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	256											0	
8	8	43	43	0.25	1/4	1/4	Chord	12/8	1	2	1/16	1/16	1	257											0	
8	8	173/4	173/4	0.25	5/16	5/16	Chord	12/8	1	2	1/16	1/16	1	258											0	
8	8	87/2	87/2	0.25	3/8	3/8	Chord	12/8	1	2	1/16	1/16	1	259											0	
8	8	175/4	175/4	0.25	7/16	7/16	Chord	12/8	1	2	1/16	1/16	1	260											0	
8	8	44	44	0.25	1/2	1/2	Chord	12/8	1	2	1/16	1/16	1	261											0	
8	8	177/4	177/4	0.25	9/16	9/16	Chord	12/8	1	2	1/16	1/16	1	262											0	
8	8	89/2	89/2	0.25	5/8	5/8	Chord	12/8	1	2	1/16	1/16	1	263											0	
8	8	179/4	179/4	0.25	11/16	11/16	Chord	12/8	1	2	1/16	1/16	1	264											0	
8	8	45	45	0.25	3/4	3/4	Chord	12/8	1	2	1/16	1/16	1	265											0	
8	8	181/4	181/4	0.25	13/16	13/16	Chord	12/8	1	2	1/16	1/16	1	266											0	
8	8	91/2	91/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	267											0	
8	8	183/4	183/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	268											0	
8	8	46	46	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	269											0	
8	8	185/4	185/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	270											0	
8	8	93/2	93/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	271											0	
8	8	187/4	187/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	272											0	
8	8	47	47	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	273											0	
8	8	189/4	189/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	274											0	
8	8	95/2	95/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	275											0	
