mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	diminuendo_line
4	3	33/2	33/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	49						
4	3	17	17	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	50		articStaccatoBelow				
4	3	35/2	35/2	0.5	7/8	7/8	Chord	12/8	1	2	1/8	1/8	1	51		articStaccatoBelow				
4	3	18	18	0.5	1	1	Chord	12/8	1	2	1/8	1/8	1	52		articStaccatoBelow				
4	3	37/2	37/2	1.0	9/8	9/8	Chord	12/8	1	2	1/4	1/4	1	53						
4	3	15	15	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	54				11		
4	3	31/2	31/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	55				11		
4	3	33/2	33/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	56				11		
4	3	17	17	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	57				11		
4	3	18	18	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	58				11		
4	3	37/2	37/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	59				11		
4	3	39/2	39/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	60						
4	3	14	14	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	61						
5	4	20	20	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	62		articStaccatoBelow		12		
5	4	41/2	41/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	63		articStaccatoBelow		12		
5	4	21	21	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	64		articStaccatoBelow				
5	4	43/2	43/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	65				13		
5	4	22	22	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	66						
5	4	45/2	45/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	67						
5	4	23	23	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	68		articStaccatoBelow		14		
5	4	47/2	47/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	69		articStaccatoBelow		14		
5	4	24	24	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	70		articStaccatoBelow				
5	4	49/2	49/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	71				15		
5	4	25	25	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	72						
5	4	51/2	51/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	73						
5	4	43/2	43/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	74						
5	4	45/2	45/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	75						
5	4	49/2	49/2	1.0	9/8	9/8	Chord	12/8	1	2	1/4	1/4	1	76						
5	4	51/2	51/2	0.5	11/8	11/8	Chord	12/8	1	2	1/8	1/8	1	77						
5	4	21	21	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	78				16		
5	4	43/2	43/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	79				16		
5	4	45/2	45/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	80				16		
5	4	23	23	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	81				16		
5	4	24	24	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	82				16		
5	4	49/2	49/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	83				16		
5	4	51/2	51/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	84						
5	4	20	20	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	85						
6	5	26	26	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	86		articStaccatoBelow		17		
6	5	53/2	53/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	87		articStaccatoBelow		17		
6	5	27	27	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	88		articStaccatoBelow				
6	5	55/2	55/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	89				18		
6	5	28	28	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	90						
6	5	57/2	57/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	91						
6	5	29	29	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	92		articStaccatoBelow		19		
6	5	59/2	59/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	93		articStaccatoBelow		19		
6	5	30	30	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	94		articStaccatoBelow				
6	5	61/2	61/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	95						
