mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_stringendo	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va
13	13	36	36	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	106										
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	107										
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	108										
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	109										
13	13	38	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	110										
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	111										
13	13	36	36	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	112										
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	113										
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	114		articStaccatoAbove		4						
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	115		articStaccatoAbove		4						
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	116		articStaccatoAbove		4						
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	117		articStaccatoAbove		4						
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	118		articStaccatoAbove								
14	14	39	39	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	119										
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	120										
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	121										
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	122										
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	123										
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	124										
15	15	42	42	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	125										
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	126										
15	15	42	42	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	127										
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	128										
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	129										
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	130										
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	131										
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	132										
15	15	42	42	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	133										
16	16	45	45	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	134										
16	16	91/2	91/2	0.0	1/8	1/8	Spanner	6/8	1	1	0													0	
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	135		articStaccatoAbove		5					0	
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	136		articStaccatoAbove		5					0	
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	137		articStaccatoAbove		5					0	
16	16	47	47	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	138		articStaccatoAbove		5					0	
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	139		articStaccatoAbove							0	
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	140										
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	141										
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	142										
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	143										
16	16	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	144										
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	145										
17	17	48	48	0.0	0	0	Spanner	6/8	1	1	0														
17	17	48	48	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	146										
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	147										
17	17	48	48	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	148										
17	17	97/2	97/2	0.0	1/8	1/8	Spanner	6/8	2	1	0											0			
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	149							0			
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	150							0			
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	151							0			
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	152							0			
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	153							0			
17	17	48	48	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	154							0			
18	18	51	51	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	155				6						
18	18	205/4	205/4	0.0	1/16	1/16	Dynamic	6/8	1	1	0					ppp			6						
18	18	205/4	205/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	156				6						
18	18	103/2	103/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	157				6						
18	18	207/4	207/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	158				6						
18	18	52	52	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	159				6						
18	18	209/4	209/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	160				6						
18	18	105/2	105/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	161				6						
18	18	211/4	211/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	162				6						
18	18	53	53	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	163				6						
18	18	213/4	213/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	164				6						
18	18	107/2	107/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	165				6						
18	18	215/4	215/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	166										
18	18	51	51	0.0	0	0	Spanner	6/8	2	1	0														
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	167										
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	168										
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	169										
18	18	51	51	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	170										
19	19	111/2	111/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0					ppp									
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	171										
19	19	111/2	111/2	0.0	3/8	3/8	Dynamic	6/8	2	1	0					pp									
19	19	111/2	111/2	0.0	3/8	3/8	StaffText	6/8	2	1	0							"<font size=""12""/>un poco marcato"							
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	172										
19	19	56	56	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	173										
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	174										
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	175										
20	20	57	57	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	176										
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	177										
20	20	59	59	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	178										
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	179										
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	180										
21	21	123/2	123/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0					pp									
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	181				7						
21	21	62	62	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	182				7						
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	183				7						
21	21	60	60	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	184										
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	185										
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	186										
21	21	60	60	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	187										
22	22	63	63	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	188				7						
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	189				7						
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	190				7						
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	191				7						
22	22	65	65	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	192				7						
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	193										
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	194										
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	195		articAccentAbove		8						
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	196				8						
23	23	68	68	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	197				8						
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	198										
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	199										
24	24	141/2	141/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	200										
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	201				9						
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	202				9						
24	24	71	71	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	203				9						
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	204										
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	205										
25	25	72	72	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	206										
25	25	147/2	147/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											1			
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	207							1			
25	25	74	74	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	208							1			
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	209							1			
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	210							1			
26	26	75	75	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	211										
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	212				10						
26	26	77	77	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	213				10						
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	214				10						
26	26	75	75	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	215							1			
26	26	151/2	151/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	216							1			
26	26	76	76	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	217							1			
26	26	153/2	153/2	0.0	3/8	3/8	Spanner	6/8	2	1	0														
26	26	75	75	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	218										
27	27	78	78	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	219				10						
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	220				10						
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	221				10						
27	27	159/2	159/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	222				10						
27	27	80	80	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	223				10						
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	224										
28	28	81	81	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12""/>sempre"							
28	28	81	81	0.0	0	0	Dynamic	6/8	1	1	0					pp									
28	28	81	81	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	225				11						
28	28	163/2	163/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	226				11						
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	227				11						
28	28	165/2	165/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	228				11						
28	28	83	83	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	229				11						
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	230				11						
28	28	163/2	163/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	231										
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	232										
28	28	83	83	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	233										
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	234										
29	29	84	84	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	235				11						
29	29	169/2	169/2	0.0	1/8	1/8	StaffText	6/8	1	1	0							"<font size=""12""/>cantando"	11						
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	236				11						
29	29	85	85	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	237				11						
29	29	171/2	171/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	238				11						
29	29	86	86	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	239				11						
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	240										
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	241										
29	29	85	85	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	242										
29	29	86	86	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	243										
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	244										
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	245										
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	246										
29	29	171/2	171/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	247										
29	29	86	86	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	248										
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	249										
29	29	171/2	171/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	250										
30	30	175/2	175/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	251				12						
30	30	88	88	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	252				12						
30	30	177/2	177/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	253				12						
30	30	89	89	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	254				12						
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	255				12						
30	30	87	87	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	256										
30	30	177/2	177/2	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	1	257										
30	30	177/2	177/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	258										
30	30	87	87	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	259										
31	31	90	90	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	260				12						
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	261				12						
31	31	91	91	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	262				12						
31	31	183/2	183/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	263				12						
31	31	92	92	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	264				12						
