mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin
16	15	58	58	0.75	1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	117									5			
16	15	235/4	235/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	118									5			
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	119									5			
16	15	60	60	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	120												
16	15	58	58	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	121												
16	15	235/4	235/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	122												
16	15	59	59	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	123												
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	124												
17	16	61	61	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	125									4			
17	16	62	62	1.75	1/4	1/4	Chord	4/4	1	1	7/16	1/4	7/4	126									4			
17	16	255/4	255/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	127									4			
17	16	64	64	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	128									4			
17	16	259/4	259/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	129									4			
17	16	62	62	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	130												
17	16	62	62	0.0	1/4	1/4	Dynamic	4/4	2	1	0				sf											
17	16	62	62	0.0	1/4	1/4	Spanner	4/4	2	1	0													5		
17	16	62	62	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	131										5		
17	16	64	64	0.0	3/4	3/4	Spanner	4/4	2	1	0															
18	17	65	65	1.75	0	0	Chord	4/4	1	1	7/16	1/4	7/4	132									4			
18	17	267/4	267/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	133									4			
18	17	67	67	1.75	1/2	1/2	Chord	4/4	1	1	7/16	1/4	7/4	134									4			
18	17	275/4	275/4	0.0	15/16	15/16	Spanner	4/4	1	1	0												4			4
18	17	275/4	275/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	135									4			4
18	17	66	66	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	136												4
18	17	68	68	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	137												4
18	17	66	66	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	138		articAccentAbove										
18	17	68	68	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	139		articAccentAbove										
19	18	69	69	1.75	0	0	Chord	4/4	1	1	7/16	1/4	7/4	140									4			4
19	18	283/4	283/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	141									4			4
19	18	71	71	1.75	1/2	1/2	Chord	4/4	1	1	7/16	1/4	7/4	142									4			4
19	18	291/4	291/4	0.0	15/16	15/16	Spanner	4/4	1	1	0												4			
19	18	291/4	291/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	143									4			
19	18	70	70	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	144												
19	18	72	72	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	145												
19	18	70	70	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	146												
19	18	72	72	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	147												
20	19	73	73	3.75	0	0	Chord	4/4	1	1	15/16	1/2	15/8	148									4			
20	19	74	74	0.0	1/4	1/4	Spanner	4/4	1	1	0												4		4	
20	19	75	75	0.0	1/2	1/2	Spanner	4/4	1	1	0												4			
20	19	75	75	0.0	1/2	1/2	Spanner	4/4	1	1	0												4			5
20	19	76	76	0.0	3/4	3/4	Spanner	4/4	1	1	0												4			
20	19	307/4	307/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	149									4			
20	19	74	74	0.75	1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	150									6			
20	19	299/4	299/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	151									6			
20	19	75	75	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	152									6			
20	19	76	76	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	153												
20	19	74	74	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	154												
20	19	299/4	299/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	155												
20	19	75	75	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	156												
20	19	76	76	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	157												
21	20	77	77	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	158									4			
21	20	78	78	0.0	1/4	1/4	Spanner	4/4	1	1	0												4		5	
21	20	79	79	0.0	1/2	1/2	Spanner	4/4	1	1	0												4			
21	20	79	79	0.0	1/2	1/2	Spanner	4/4	1	1	0												4			6
21	20	79	79	1.75	1/2	1/2	Chord	4/4	1	1	7/16	1/4	7/4	159									4			6
21	20	80	80	0.0	3/4	3/4	Spanner	4/4	1	1	0												4			
21	20	323/4	323/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	160									4			
21	20	78	78	0.75	1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	161									7			
21	20	315/4	315/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	162									7			
21	20	79	79	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	163									7			
21	20	80	80	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	164												
21	20	78	78	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	165												
21	20	315/4	315/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	166												
21	20	79	79	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	167												
21	20	80	80	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	168												
22	21	81	81	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	169												
22	21	81	81	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	170												
22	21	81	81	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	171												
22	21	82	82	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	172		articAccentAbove										
22	21	83	83	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	173												
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	174												
22	21	84	84	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	175												
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	176												
23	22	85	85	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	177												
23	22	171/2	171/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	178												
23	22	86	86	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	179												
23	22	173/2	173/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	180												
23	22	87	87	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	181		articAccentBelow										
23	22	177/2	177/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	182												
24	23	89	89	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	183												
24	23	90	90	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	184												
24	23	367/4	367/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	185												
24	23	92	92	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	186												
24	23	371/4	371/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	187												
24	23	89	89	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Plantin MT Std""/>sotto voce pesante"									
24	23	89	89	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
24	23	89	89	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	188												
24	23	179/2	179/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	189												
24	23	90	90	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	190												
24	23	181/2	181/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	191												
24	23	91	91	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	192												
24	23	183/2	183/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	193												
24	23	92	92	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	194												
24	23	185/2	185/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	195												
25	24	93	93	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	196												
25	24	94	94	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	197												
25	24	96	96	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	198												
25	24	387/4	387/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	199												
25	24	93	93	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
25	24	93	93	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	200												
25	24	187/2	187/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	201												
25	24	94	94	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	202												
25	24	189/2	189/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	203												
25	24	95	95	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	204												
25	24	191/2	191/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	205												
25	24	96	96	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	206												
25	24	193/2	193/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	207												
26	25	97	97	0.0	0	0	Spanner	4/4	1	1	0														6	
26	25	97	97	1.75	0	0	Chord	4/4	1	1	7/16	1/4	7/4	208											6	
26	25	395/4	395/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	209											6	
26	25	99	99	0.0	1/2	1/2	Spanner	4/4	1	1	0															
26	25	99	99	0.0	1/2	1/2	Spanner	4/4	1	1	0															7
26	25	99	99	1.75	1/2	1/2	Chord	4/4	1	1	7/16	1/4	7/4	210												7
26	25	403/4	403/4	0.0	15/16	15/16	Spanner	4/4	1	1	0															
26	25	403/4	403/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	211												
26	25	97	97	0.0	0	0	Spanner	4/4	2	1	0													6		
26	25	97	97	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	212										6		
26	25	195/2	195/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	213										6		
26	25	98	98	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	214										6		
26	25	197/2	197/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	215										6		
26	25	99	99	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	216										6		
26	25	199/2	199/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	217										6		
26	25	100	100	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	218										6		
26	25	201/2	201/2	0.0	7/8	7/8	Spanner	4/4	2	1	0															
26	25	201/2	201/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	219												
27	26	101	101	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	220												
27	26	102	102	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	221												
27	26	104	104	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	222												
27	26	419/4	419/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	223												
27	26	101	101	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	224												
27	26	203/2	203/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	225												
27	26	102	102	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	226												
27	26	205/2	205/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	227												
27	26	103	103	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	228												
27	26	207/2	207/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	229												
27	26	104	104	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	230												
27	26	209/2	209/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	231												
28	27	105	105	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	232												
28	27	106	106	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	233												
28	27	431/4	431/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	234												
28	27	108	108	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	235												
28	27	435/4	435/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	236												
