mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_rall.	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
6	6	22	22	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	43												
7	7	24	24	0.0	0	0	Spanner	2/2	1	1	0															
7	7	49/2	49/2	0.0	1/8	1/8	Dynamic	2/2	1	1	0				p											
7	7	49/2	49/2	0.0	1/8	1/8	StaffText	2/2	1	1	0						quasi cadenza									
7	7	49/2	49/2	0.0	1/8	1/8	Spanner	2/2	1	1	0												2			
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	44									2			
7	7	25	25	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	45									2			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	46									2			
7	7	26	26	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	47									2			
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	48									2			
7	7	27	27	0.0	3/4	3/4	Spanner	2/2	1	1	0															
7	7	27	27	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	49												
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	50												
7	7	28	28	0.0	1	1	Spanner	2/2	1	1	0											0				
7	7	28	28	0.5	1	1	Chord	2/2	1	1	1/8	1/8	1	51								0				
7	7	57/2	57/2	0.0	9/8	9/8	Spanner	2/2	1	1	0											0	3			
7	7	57/2	57/2	0.5	9/8	9/8	Chord	2/2	1	1	1/8	1/8	1	52								0	3			
7	7	29	29	0.5	5/4	5/4	Chord	2/2	1	1	1/8	1/8	1	53								0	3			
7	7	59/2	59/2	0.5	11/8	11/8	Chord	2/2	1	1	1/8	1/8	1	54								0	3			
7	7	30	30	0.5	3/2	3/2	Chord	2/2	1	1	1/8	1/8	1	55								0	3			
7	7	61/2	61/2	0.5	13/8	13/8	Chord	2/2	1	1	1/8	1/8	1	56								0	3			
7	7	31	31	0.0	7/4	7/4	Spanner	2/2	1	1	0											0				
7	7	31	31	0.5	7/4	7/4	Chord	2/2	1	1	1/8	1/8	1	57								0				
7	7	63/2	63/2	0.5	15/8	15/8	Chord	2/2	1	1	1/8	1/8	1	58								0				
7	7	32	32	0.5	2	2	Chord	2/2	1	1	1/8	1/8	1	59								0				
7	7	65/2	65/2	0.0	17/8	17/8	Spanner	2/2	1	1	0											0	4			
7	7	65/2	65/2	0.5	17/8	17/8	Chord	2/2	1	1	1/8	1/8	1	60								0	4			
7	7	33	33	0.5	9/4	9/4	Chord	2/2	1	1	1/8	1/8	1	61								0	4			
7	7	67/2	67/2	0.5	19/8	19/8	Chord	2/2	1	1	1/8	1/8	1	62								0	4			
7	7	34	34	0.5	5/2	5/2	Chord	2/2	1	1	1/8	1/8	1	63								0	4			
7	7	69/2	69/2	0.0	21/8	21/8	Spanner	2/2	1	1	0											0	4	1		
7	7	69/2	69/2	0.5	21/8	21/8	Chord	2/2	1	1	1/8	1/8	1	64								0	4	1		
7	7	35	35	0.0	11/4	11/4	Spanner	2/2	1	1	0											0		1		
7	7	35	35	0.5	11/4	11/4	Chord	2/2	1	1	1/8	1/8	1	65								0		1		
7	7	71/2	71/2	0.5	23/8	23/8	Chord	2/2	1	1	1/8	1/8	1	66								0		1		
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	67												
7	7	25	25	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	68												
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	69												
7	7	26	26	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	70												
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	71												
7	7	27	27	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	72												
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	73												
7	7	28	28	0.5	1	1	Chord	2/2	2	1	1/8	1/8	1	74												
7	7	57/2	57/2	0.5	9/8	9/8	Chord	2/2	2	1	1/8	1/8	1	75												
7	7	29	29	0.5	5/4	5/4	Chord	2/2	2	1	1/8	1/8	1	76												
7	7	59/2	59/2	0.5	11/8	11/8	Chord	2/2	2	1	1/8	1/8	1	77												
7	7	30	30	0.5	3/2	3/2	Chord	2/2	2	1	1/8	1/8	1	78												
7	7	61/2	61/2	0.5	13/8	13/8	Chord	2/2	2	1	1/8	1/8	1	79												
7	7	31	31	0.5	7/4	7/4	Chord	2/2	2	1	1/8	1/8	1	80												
7	7	63/2	63/2	0.5	15/8	15/8	Chord	2/2	2	1	1/8	1/8	1	81												
7	7	32	32	0.5	2	2	Chord	2/2	2	1	1/8	1/8	1	82												
7	7	65/2	65/2	0.5	17/8	17/8	Chord	2/2	2	1	1/8	1/8	1	83												
7	7	33	33	0.5	9/4	9/4	Chord	2/2	2	1	1/8	1/8	1	84												
7	7	67/2	67/2	0.5	19/8	19/8	Chord	2/2	2	1	1/8	1/8	1	85												
7	7	34	34	0.5	5/2	5/2	Chord	2/2	2	1	1/8	1/8	1	86												
7	7	69/2	69/2	0.5	21/8	21/8	Chord	2/2	2	1	1/8	1/8	1	87												
7	7	35	35	0.5	11/4	11/4	Chord	2/2	2	1	1/8	1/8	1	88												
7	7	71/2	71/2	0.5	23/8	23/8	Chord	2/2	2	1	1/8	1/8	1	89												
8	7	36	36	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	90								0		1		
8	7	73/2	73/2	0.0	1/8	1/8	Spanner	2/2	1	1	0											0	5	1		
8	7	73/2	73/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	91								0	5	1		
8	7	37	37	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	92								0	5	1		
8	7	75/2	75/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	93								0	5	1		
8	7	38	38	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	94								0	5	1		
8	7	77/2	77/2	0.0	5/8	5/8	Spanner	2/2	1	1	0													1		
8	7	77/2	77/2	0.0	5/8	5/8	Spanner	2/2	1	1	0													1		
8	7	77/2	77/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	95										1		
8	7	39	39	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	96										1		
8	7	79/2	79/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	97										1		
8	7	40	40	0.5	1	1	Chord	2/2	1	1	1/8	1/8	1	98										1		
8	7	81/2	81/2	0.5	9/8	9/8	Chord	2/2	1	1	1/8	1/8	1	99										1		
8	7	41	41	0.5	5/4	5/4	Chord	2/2	1	1	1/8	1/8	1	100										1		
8	7	83/2	83/2	0.5	11/8	11/8	Chord	2/2	1	1	1/8	1/8	1	101										1		
8	7	42	42	0.5	3/2	3/2	Chord	2/2	1	1	1/8	1/8	1	102										1		
8	7	85/2	85/2	0.5	13/8	13/8	Chord	2/2	1	1	1/8	1/8	1	103										1		
8	7	43	43	0.5	7/4	7/4	Chord	2/2	1	1	1/8	1/8	1	104										1		
8	7	87/2	87/2	0.5	15/8	15/8	Chord	2/2	1	1	1/8	1/8	1	105										1		
8	7	44	44	0.0	2	2	Spanner	2/2	1	1	0															
8	7	44	44	0.5	2	2	Chord	2/2	1	1	1/8	1/8	1	106												
8	7	89/2	89/2	0.5	17/8	17/8	Chord	2/2	1	1	1/8	1/8	1	107												
8	7	45	45	0.5	9/4	9/4	Chord	2/2	1	1	1/8	1/8	1	108												
8	7	91/2	91/2	0.5	19/8	19/8	Chord	2/2	1	1	1/8	1/8	1	109												
8	7	46	46	0.5	5/2	5/2	Chord	2/2	1	1	1/8	1/8	1	110												
8	7	93/2	93/2	0.5	21/8	21/8	Chord	2/2	1	1	1/8	1/8	1	111												
8	7	47	47	0.5	11/4	11/4	Chord	2/2	1	1	1/8	1/8	1	112												
8	7	95/2	95/2	0.5	23/8	23/8	Chord	2/2	1	1	1/8	1/8	1	113												
8	7	48	48	0.5	3	3	Chord	2/2	1	1	1/8	1/8	1	114												
8	7	97/2	97/2	0.5	25/8	25/8	Chord	2/2	1	1	1/8	1/8	1	115												
8	7	49	49	0.5	13/4	13/4	Chord	2/2	1	1	1/8	1/8	1	116												
8	7	99/2	99/2	0.5	27/8	27/8	Chord	2/2	1	1	1/8	1/8	1	117												
8	7	50	50	0.5	7/2	7/2	Chord	2/2	1	1	1/8	1/8	1	118												
8	7	101/2	101/2	0.5	29/8	29/8	Chord	2/2	1	1	1/8	1/8	1	119												
8	7	51	51	0.5	15/4	15/4	Chord	2/2	1	1	1/8	1/8	1	120												
8	7	103/2	103/2	0.5	31/8	31/8	Chord	2/2	1	1	1/8	1/8	1	121												
8	7	52	52	1.0	4	4	Chord	2/2	1	1	1/4	1/4	1	122												
8	7	53	53	1.0	17/4	17/4	Chord	2/2	1	1	1/4	1/4	1	123		articAccentAbove										
8	7	54	54	1.0	9/2	9/2	Chord	2/2	1	1	1/4	1/4	1	124		articAccentAbove										
8	7	55	55	1.0	19/4	19/4	Chord	2/2	1	1	1/4	1/4	1	125		articAccentAbove										
8	7	56	56	1.0	5	5	Chord	2/2	1	1	1/4	1/4	1	126		articAccentAbove		0								
8	7	57	57	1.0	21/4	21/4	Chord	2/2	1	1	1/4	1/4	1	127		articStaccatissimoAbove										
8	7	59	59	1.0	23/4	23/4	Chord	2/2	1	1	1/4	1/4	1	128												
8	7	36	36	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	129												
8	7	73/2	73/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	130												
8	7	37	37	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	131												
8	7	75/2	75/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	132												
8	7	38	38	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	133												
8	7	77/2	77/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	134												
8	7	39	39	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	135												
8	7	79/2	79/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	136												
8	7	40	40	0.5	1	1	Chord	2/2	2	1	1/8	1/8	1	137												
8	7	81/2	81/2	0.5	9/8	9/8	Chord	2/2	2	1	1/8	1/8	1	138												
8	7	41	41	0.5	5/4	5/4	Chord	2/2	2	1	1/8	1/8	1	139												
8	7	83/2	83/2	0.5	11/8	11/8	Chord	2/2	2	1	1/8	1/8	1	140												
8	7	42	42	0.5	3/2	3/2	Chord	2/2	2	1	1/8	1/8	1	141												
8	7	85/2	85/2	0.5	13/8	13/8	Chord	2/2	2	1	1/8	1/8	1	142												
8	7	43	43	0.5	7/4	7/4	Chord	2/2	2	1	1/8	1/8	1	143												
8	7	87/2	87/2	0.5	15/8	15/8	Chord	2/2	2	1	1/8	1/8	1	144												
8	7	44	44	0.5	2	2	Chord	2/2	2	1	1/8	1/8	1	145												
8	7	89/2	89/2	0.5	17/8	17/8	Chord	2/2	2	1	1/8	1/8	1	146												
8	7	45	45	0.5	9/4	9/4	Chord	2/2	2	1	1/8	1/8	1	147												
8	7	91/2	91/2	0.5	19/8	19/8	Chord	2/2	2	1	1/8	1/8	1	148												
8	7	46	46	0.5	5/2	5/2	Chord	2/2	2	1	1/8	1/8	1	149												
8	7	93/2	93/2	0.5	21/8	21/8	Chord	2/2	2	1	1/8	1/8	1	150												
8	7	47	47	0.5	11/4	11/4	Chord	2/2	2	1	1/8	1/8	1	151												
8	7	95/2	95/2	0.5	23/8	23/8	Chord	2/2	2	1	1/8	1/8	1	152												
8	7	48	48	0.5	3	3	Chord	2/2	2	1	1/8	1/8	1	153												
8	7	97/2	97/2	0.5	25/8	25/8	Chord	2/2	2	1	1/8	1/8	1	154												
8	7	49	49	0.5	13/4	13/4	Chord	2/2	2	1	1/8	1/8	1	155												
8	7	99/2	99/2	0.5	27/8	27/8	Chord	2/2	2	1	1/8	1/8	1	156												
8	7	50	50	0.5	7/2	7/2	Chord	2/2	2	1	1/8	1/8	1	157												
8	7	101/2	101/2	0.5	29/8	29/8	Chord	2/2	2	1	1/8	1/8	1	158												
8	7	51	51	0.5	15/4	15/4	Chord	2/2	2	1	1/8	1/8	1	159												
8	7	103/2	103/2	0.5	31/8	31/8	Chord	2/2	2	1	1/8	1/8	1	160												
8	7	52	52	1.0	4	4	Chord	2/2	2	1	1/4	1/4	1	161												
8	7	53	53	1.0	17/4	17/4	Chord	2/2	2	1	1/4	1/4	1	162		articAccentBelow										
8	7	54	54	1.0	9/2	9/2	Chord	2/2	2	1	1/4	1/4	1	163		articAccentBelow										
8	7	55	55	1.0	19/4	19/4	Chord	2/2	2	1	1/4	1/4	1	164		articAccentBelow										
8	7	56	56	1.0	5	5	Chord	2/2	2	1	1/4	1/4	1	165		articAccentBelow		1								
8	7	57	57	1.0	21/4	21/4	Chord	2/2	2	1	1/4	1/4	1	166		articStaccatissimoBelow										
9	8	60	60	0.0	0	0	Dynamic	2/2	1	1	0				ff											
9	8	60	60	0.0	0	0	StaffText	2/2	1	1	0						Presto furioso									
9	8	60	60	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	167		articAccentAbove		2								
9	8	62	62	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	168		articStaccatissimoBelow										
9	8	127/2	127/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	169												
9	8	121/2	121/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												6			
9	8	121/2	121/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	170									6			
9	8	61	61	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	171									6			
9	8	123/2	123/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	172									6			
9	8	62	62	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	173									6			
9	8	125/2	125/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	174									6			
9	8	63	63	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	175									6			
9	8	127/2	127/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
10	9	64	64	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	176		articStaccatissimoBelow										
10	9	65	65	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	177		articStaccatissimoBelow										
10	9	135/2	135/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	178												
10	9	129/2	129/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												7			
10	9	129/2	129/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	179									7			
10	9	65	65	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	180									7			
10	9	131/2	131/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	181									7			
10	9	66	66	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	182									7			
10	9	133/2	133/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	183									7			
10	9	67	67	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	184									7			
10	9	135/2	135/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
11	10	68	68	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	185		articAccentAbove		3								
11	10	70	70	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	186		articStaccatissimoAbove										
11	10	143/2	143/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	187												
11	10	137/2	137/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												8			
11	10	137/2	137/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	188									8			
11	10	69	69	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	189									8			
11	10	139/2	139/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	190									8			
11	10	70	70	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	191									8			
11	10	141/2	141/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	192									8			
11	10	71	71	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	193									8			
11	10	143/2	143/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
12	11	72	72	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	194		articStaccatissimoBelow										
12	11	73	73	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	195		articStaccatissimoBelow										
12	11	151/2	151/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	196												
12	11	145/2	145/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												9			
12	11	145/2	145/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	197									9			
12	11	73	73	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	198									9			
12	11	147/2	147/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	199									9			
12	11	74	74	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	200									9			
12	11	149/2	149/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	201									9			
12	11	75	75	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	202									9			
12	11	151/2	151/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
13	12	76	76	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	203		articAccentBelow		4								
13	12	78	78	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	204				4								
13	12	79	79	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	205				4								
13	12	153/2	153/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												10			
13	12	153/2	153/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	206									10			
13	12	77	77	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	207									10			
13	12	155/2	155/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	208									10			
13	12	78	78	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	209									10			
13	12	157/2	157/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	210									10			
13	12	79	79	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	211									10			
13	12	159/2	159/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
14	13	80	80	0.0	0	0	Spanner	2/2	1	1	0							4					11			
14	13	80	80	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	212				4					11			
14	13	81	81	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	213				4					11			
14	13	82	82	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	214				4					11			
14	13	167/2	167/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	215				4					11			
14	13	161/2	161/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												12			
14	13	161/2	161/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	216									12			
14	13	81	81	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	217									12			
14	13	163/2	163/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	218									12			
14	13	82	82	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	219									12			
14	13	165/2	165/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	220									12			
14	13	83	83	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	221									12			
14	13	167/2	167/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
15	14	84	84	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	222				4					11			
15	14	85	85	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	223				4					11			
15	14	86	86	0.0	1/2	1/2	Spanner	2/2	1	1	0							4								
15	14	86	86	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	224		articAccentAbove		4								
15	14	175/2	175/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	225												
15	14	169/2	169/2	0.0	1/8	1/8	Spanner	2/2	2	1	0												13			
15	14	169/2	169/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	226									13			
15	14	85	85	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	227									13			
15	14	171/2	171/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	228									13			
15	14	86	86	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	229									13			
15	14	173/2	173/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	230									13			
15	14	87	87	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	231									13			
15	14	175/2	175/2	0.0	7/8	7/8	Spanner	2/2	2	1	0															
16	15	88	88	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""12""/>rinforz."									
16	15	88	88	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	232		articMarcatoAbove										
16	15	177/2	177/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	233												
16	15	89	89	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	234												
16	15	179/2	179/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	235												
16	15	90	90	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	236												
16	15	181/2	181/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	237												
16	15	91	91	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	238												
16	15	183/2	183/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	239												
16	15	89	89	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	240		articAccentBelow										
