mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	crescendo_hairpin	diminuendo_line	HairPin:3_sempre dim.	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
150	149	1781/4	1781/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1085				71								6		
150	149	891/2	891/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1086		articStaccatissimoBelow										6		
150	149	893/2	893/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	1087												6		
150	149	1787/4	1787/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	1088												6		
150	149	444	444	0.375	0	0	Chord	6/8	2	1	3/32		1/16	3/2	1089				72									18	18
150	149	3555/8	3555/8	0.375	3/32	3/32	Chord	6/8	2	1	3/32		1/16	3/2	1090				72									18	18
150	149	1779/4	1779/4	0.375	3/16	3/16	Chord	6/8	2	1	3/32		1/16	3/2	1091				72									18	18
150	149	3561/8	3561/8	0.375	9/32	9/32	Chord	6/8	2	1	3/32		1/16	3/2	1092				72									18	18
150	149	891/2	891/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1093		articStaccatissimoAbove											18	18
151	150	447	447	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	1094				73								6		
151	150	1789/4	1789/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	1095				73								6		
151	150	895/2	895/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	1096				73								6		
151	150	1791/4	1791/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	1097				73								6		
151	150	448	448	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	1098				73								6		
151	150	1793/4	1793/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1099				73								6		
151	150	897/2	897/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1100		articStaccatissimoBelow										6		
151	150	449	449	0.0	1/2	1/2	Spanner	6/8	1	1	0																		
151	150	899/2	899/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					ff													
151	150	899/2	899/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1101														
151	150	447	447	0.375	0	0	Chord	6/8	2	1	3/32		1/16	3/2	1102				74									18	18
151	150	3579/8	3579/8	0.375	3/32	3/32	Chord	6/8	2	1	3/32		1/16	3/2	1103				74									18	18
151	150	1791/4	1791/4	0.375	3/16	3/16	Chord	6/8	2	1	3/32		1/16	3/2	1104				74									18	18
151	150	3585/8	3585/8	0.375	9/32	9/32	Chord	6/8	2	1	3/32		1/16	3/2	1105				74									18	18
151	150	897/2	897/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1106		articStaccatissimoAbove											18	18
151	150	899/2	899/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1107													18	18
152	151	450	450	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1108														
152	151	451	451	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1109														
152	151	903/2	903/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1110														
152	151	905/2	905/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1111														
152	151	450	450	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	1112													18	18
152	151	451	451	0.0	1/4	1/4	Spanner	6/8	2	1	0																		
152	151	451	451	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1113														
152	151	903/2	903/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1114														
152	151	905/2	905/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1115														
153	152	453	453	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	1116														
153	152	909/2	909/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							<i>ten.</i>											
153	152	909/2	909/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	1117		articAccentBelow												
153	152	453	453	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	1118														
153	152	909/2	909/2	0.0	3/8	3/8	StaffText	6/8	2	1	0							<i>ten.</i>											
153	152	909/2	909/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	1119														
154	153	456	456	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	1120		articStaccatissimoBelow												
154	153	457	457	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1121														
154	153	915/2	915/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1122		articStaccatissimoBelow												
154	153	917/2	917/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1123														
154	153	456	456	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	1124		articStaccatissimoBelow												
154	153	457	457	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1125														
154	153	915/2	915/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1126		articStaccatissimoBelow												
154	153	917/2	917/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1127														
155	154	459	459	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1128		articStaccatissimoBelow												
155	154	460	460	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	1129				75										
155	154	1841/4	1841/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1130				75										
155	154	921/2	921/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1131		articStaccatissimoBelow												
155	154	923/2	923/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1132														
155	154	459	459	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	1133		articStaccatissimoBelow												
155	154	460	460	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	1134				76										
155	154	1841/4	1841/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	1135				76										
155	154	921/2	921/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1136		articStaccatissimoAbove												
155	154	923/2	923/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1137														
156	155	462	462	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1138														
156	155	463	463	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1139														
156	155	927/2	927/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1140														
156	155	929/2	929/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1141														
156	155	462	462	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	1142														
156	155	463	463	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1143														
156	155	927/2	927/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1144														
156	155	929/2	929/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1145														
157	156	465	465	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1146														
157	156	466	466	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1147														
157	156	933/2	933/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1148														
157	156	935/2	935/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1149														
157	156	465	465	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	1150														
157	156	466	466	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1151														
157	156	933/2	933/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1152														
157	156	935/2	935/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1153														
158	157	468	468	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	1154														
158	157	939/2	939/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1155														
158	157	941/2	941/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					p													
158	157	941/2	941/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																7		
158	157	941/2	941/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	1156												7		
158	157	1883/4	1883/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	1157												7		
158	157	468	468	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	1158														
158	157	939/2	939/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1159														
158	157	941/2	941/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																	19	19
159	158	471	471	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	1160				77								7		
159	158	1885/4	1885/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	1161				77								7		
159	158	943/2	943/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	1162				77								7		
159	158	1887/4	1887/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	1163				77								7		
159	158	472	472	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	1164				77								7		
159	158	1889/4	1889/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1165				77								7		
159	158	945/2	945/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1166		articStaccatissimoBelow										7		
159	158	947/2	947/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	1167												7		
159	158	1895/4	1895/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	1168												7		
159	158	471	471	0.375	0	0	Chord	6/8	2	1	3/32		1/16	3/2	1169				78									19	19
159	158	3771/8	3771/8	0.375	3/32	3/32	Chord	6/8	2	1	3/32		1/16	3/2	1170				78									19	19
159	158	1887/4	1887/4	0.375	3/16	3/16	Chord	6/8	2	1	3/32		1/16	3/2	1171				78									19	19
159	158	3777/8	3777/8	0.375	9/32	9/32	Chord	6/8	2	1	3/32		1/16	3/2	1172				78									19	19
159	158	945/2	945/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1173		articStaccatissimoAbove											19	19
160	159	474	474	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	1174				79								7		
160	159	1897/4	1897/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	1175				79								7		
160	159	949/2	949/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	1176				79								7		
160	159	1899/4	1899/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	1177				79								7		
160	159	475	475	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	1178				79								7		
160	159	1901/4	1901/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1179				79								7		
160	159	951/2	951/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1180		articStaccatissimoBelow										7		
160	159	953/2	953/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	1181												7		
160	159	1907/4	1907/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	1182												7		
160	159	474	474	0.375	0	0	Chord	6/8	2	1	3/32		1/16	3/2	1183				80									19	19
160	159	3795/8	3795/8	0.375	3/32	3/32	Chord	6/8	2	1	3/32		1/16	3/2	1184				80									19	19
160	159	1899/4	1899/4	0.375	3/16	3/16	Chord	6/8	2	1	3/32		1/16	3/2	1185				80									19	19
160	159	3801/8	3801/8	0.375	9/32	9/32	Chord	6/8	2	1	3/32		1/16	3/2	1186				80									19	19
160	159	951/2	951/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1187		articStaccatissimoAbove											19	19
161	160	477	477	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	1188				81								7		
161	160	1909/4	1909/4	0.0	1/16	1/16	Spanner	6/8	1	1	0								81								7	20	20
161	160	1909/4	1909/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	1189				81								7	20	20
161	160	955/2	955/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	1190				81								7	20	20
161	160	1911/4	1911/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	1191				81								7	20	20
161	160	478	478	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	1192				81								7	20	20
161	160	1913/4	1913/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	1193				81								7	20	20
161	160	957/2	957/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1194		articStaccatissimoBelow										7	20	20
161	160	479	479	0.0	1/2	1/2	Spanner	6/8	1	1	0																	20	20
161	160	959/2	959/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					ff												20	20
161	160	959/2	959/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1195													20	20
161	160	477	477	0.375	0	0	Chord	6/8	2	1	3/32		1/16	3/2	1196				82									19	19
161	160	3819/8	3819/8	0.375	3/32	3/32	Chord	6/8	2	1	3/32		1/16	3/2	1197				82									19	19
161	160	1911/4	1911/4	0.375	3/16	3/16	Chord	6/8	2	1	3/32		1/16	3/2	1198				82									19	19
161	160	3825/8	3825/8	0.375	9/32	9/32	Chord	6/8	2	1	3/32		1/16	3/2	1199				82									19	19
161	160	957/2	957/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1200		articStaccatissimoAbove											19	19
161	160	959/2	959/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1201													19	19
162	161	480	480	0.0	0	0	Spanner	6/8	1	1	0																		
162	161	480	480	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1202														
162	161	481	481	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1203														
162	161	963/2	963/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1204														
162	161	965/2	965/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1205														
162	161	480	480	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	1206													19	19
162	161	481	481	0.0	1/4	1/4	Spanner	6/8	2	1	0																		
162	161	481	481	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1207														
162	161	963/2	963/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1208														
162	161	965/2	965/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1209														
163	162	483	483	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	1210														
163	162	969/2	969/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	1211		articAccentBelow												
163	162	483	483	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	1212														
163	162	969/2	969/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	1213		articAccentBelow												
164	163	486	486	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1214														
164	163	487	487	0.0	1/4	1/4	Spanner	6/8	1	1	0													6					
164	163	487	487	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1215									6					
164	163	975/2	975/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1216									6					
164	163	488	488	0.0	1/2	1/2	Spanner	6/8	1	1	0																		
164	163	977/2	977/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1217														
164	163	486	486	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	1218														
164	163	487	487	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	1219														
164	163	975/2	975/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	1220														
164	163	977/2	977/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	1221														
165	164	489	489	0.0	0	0	StaffText	6/8	1	1	0							<i>più animato</i>											
165	164	489	489	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1222														
165	164	979/2	979/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1223														
165	164	490	490	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1224														
165	164	981/2	981/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1225														
165	164	491	491	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1226														
165	164	983/2	983/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1227														
165	164	489	489	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	1228														
165	164	981/2	981/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1229														
166	165	492	492	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1230														
166	165	985/2	985/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1231														
166	165	493	493	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1232														
166	165	987/2	987/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1233														
166	165	494	494	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1234														
166	165	989/2	989/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1235														
166	165	987/2	987/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1236														
167	166	495	495	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1237														
167	166	991/2	991/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1238														
167	166	496	496	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1239														
167	166	993/2	993/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1240														
167	166	497	497	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1241														
167	166	995/2	995/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1242														
167	166	993/2	993/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1243														
168	167	498	498	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1244														
168	167	997/2	997/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1245														
168	167	499	499	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1246														
168	167	999/2	999/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							dim.											
168	167	999/2	999/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1247														
168	167	500	500	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1248														
168	167	1001/2	1001/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1249														
168	167	999/2	999/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1250														
169	168	501	501	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1251														
169	168	1003/2	1003/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1252														
169	168	502	502	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1253														
169	168	1005/2	1005/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1254														
169	168	503	503	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1255														
169	168	1007/2	1007/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1256														
169	168	1005/2	1005/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1257														
170	169	504	504	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1258														
170	169	1009/2	1009/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1259														
170	169	505	505	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1260														
170	169	1011/2	1011/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1261														
170	169	506	506	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1262														
170	169	1013/2	1013/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1263														
170	169	1011/2	1011/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1264														
171	170	507	507	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1265														
171	170	1015/2	1015/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1266														
171	170	508	508	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1267														
171	170	1017/2	1017/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1268														
171	170	509	509	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1269														
171	170	1019/2	1019/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1270														
171	170	1017/2	1017/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1271														
172	171	510	510	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1272														
172	171	1021/2	1021/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1273														
172	171	511	511	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1274														
172	171	1023/2	1023/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0					p													
172	171	1023/2	1023/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	1275														
172	171	510	510	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	1276														
172	171	1023/2	1023/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1277														
173	172	513	513	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	1278														
173	172	1029/2	1029/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1279														
173	172	515	515	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1280														
173	172	1031/2	1031/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1281														
173	172	513	513	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	1282														
173	172	1029/2	1029/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1283														
174	173	516	516	0.0	0	0	Spanner	6/8	1	1	0														0	0			
174	173	516	516	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1284										0	0			
174	173	1033/2	1033/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1285										0	0			
174	173	517	517	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1286										0	0			
174	173	1035/2	1035/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1287										0	0			
174	173	518	518	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1288										0	0			
174	173	1037/2	1037/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1289										0	0			
174	173	1035/2	1035/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1290														
175	174	519	519	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1291										0	0			
175	174	1039/2	1039/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1292										0	0			
175	174	520	520	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1293										0	0			
175	174	1041/2	1041/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1294										0	0			
175	174	521	521	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1295										0	0			
175	174	1043/2	1043/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1296										0	0			
175	174	1041/2	1041/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1297														
176	175	522	522	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1298										0	0			
176	175	1045/2	1045/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1299										0	0			
176	175	523	523	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1300										0	0			
176	175	1047/2	1047/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1301										0	0			
176	175	524	524	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1302										0	0			
176	175	1049/2	1049/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1303										0	0			
176	175	1047/2	1047/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1304														
177	176	525	525	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1305										0	0			
177	176	1051/2	1051/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1306										0	0			
177	176	526	526	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1307										0	0			
177	176	1053/2	1053/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1308										0	0			
177	176	527	527	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1309										0	0			
177	176	1055/2	1055/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1310										0	0			
177	176	1053/2	1053/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1311														
178	177	528	528	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1312										0	0			
178	177	1057/2	1057/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1313										0	0			
178	177	529	529	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1314										0	0			
178	177	1059/2	1059/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1315										0	0			
178	177	530	530	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1316										0	0			
178	177	1061/2	1061/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1317										0	0			
178	177	1059/2	1059/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1318														
179	178	531	531	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1319										0	0			
179	178	1063/2	1063/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1320										0	0			
179	178	532	532	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1321										0	0			
179	178	1065/2	1065/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1322										0	0			
179	178	533	533	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	1323										0	0			
179	178	1067/2	1067/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1324										0	0			
179	178	1065/2	1065/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1325														
180	179	534	534	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1326										0	0			
180	179	1069/2	1069/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1327										0	0			
180	179	535	535	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1328										0	0			
180	179	1071/2	1071/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	1329		articStaccatoAbove								0	0			
180	179	534	534	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	1330														
180	179	1071/2	1071/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	1331														
181	180	537	537	0.0	0	0	Dynamic	6/8	1	1	0					pp													
181	180	537	537	0.0	0	0	Spanner	6/8	1	1	0																		
181	180	537	537	0.0	0	0	Spanner	6/8	1	1	0																8		
181	180	537	537	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1332												8		
181	180	1075/2	1075/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	1333												8		
181	180	538	538	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1334												8		
