mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	33												
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	34												
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	35												
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	36												
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	37		articStaccatoBelow										
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	38		articStaccatoAbove										
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	39												
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	40		articStaccatoBelow										
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	41		articStaccatoAbove										
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	42												
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	43												
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	44												
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	45												
5	5	16	16	0.0	0	0	Dynamic	4/4	2	1	0					mf											
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	46												
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	47												
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	48												
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	49												
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	50												
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	51		articStaccatoAbove										
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	52		articStaccatoAbove										
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	53		articStaccatoAbove										
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	54		articStaccatoAbove										
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	55												
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	56												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	57												
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	58												
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	59												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	60												
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	61												
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	62									0			
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	63		articStaccatoAbove										
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	64		articStaccatoAbove										
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	65									1			
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	66		articStaccatoAbove										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	67		articStaccatoBelow										
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	68												
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	69												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	70												
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	71												
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	72												
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	73		articStaccatoAbove										
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	74												
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	75		articStaccatoAbove										
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	76		articStaccatoBelow										
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	77		articStaccatoBelow										
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	78												
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	79		articStaccatoAbove										
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	80		articStaccatoAbove										
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	81												
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0														0		
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	82									2	0		
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	83		articStaccatoAbove								0		
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	84		articStaccatoAbove								0		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	85										0		
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	86		articStaccatoAbove								0		
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	87		articStaccatoAbove								0		
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	88												
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	89		articStaccatoAbove										
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	90		articStaccatoAbove										
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	91		articStaccatoBelow										
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	92		articStaccatoBelow										
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	93		articStaccatoAbove										
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	94		articStaccatoAbove										
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	95		articStaccatoBelow										
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	96										0		
10	10	37	37	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	97		articStaccatoAbove								0		
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	98		articStaccatoAbove								0		
10	10	38	38	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	99		articStaccatoAbove								0		
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	100		articStaccatoAbove								0		
10	10	39	39	0.0	3/4	3/4	Spanner	4/4	1	1	0																
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	101												
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	102												
10	10	37	37	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	103		articStaccatoAbove										
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	104		articStaccatoAbove										
10	10	38	38	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	105		articStaccatoAbove										
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	106		articStaccatoAbove										
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	107												
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	108												
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	109												
10	10	39	39	0.75	3/4	3/4	Chord	4/4	2	2	3/16		1/8	3/2	110												
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	111												
11	11	40	40	0.0	0	0	Dynamic	4/4	1	1	0					f											
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	112												
11	11	41	41	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	113												
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	114												
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	115												
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	116												
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	117												
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	118												
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	119												
11	11	41	41	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	120												
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	121												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	122												
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	123												
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	124												
12	12	45	45	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	125												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	126												
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	127												
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	128												
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	129												
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	130												
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	131												
13	13	48	48	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>marcato"									
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	132		articTenutoBelow										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	133		articStaccatoBelow										
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	134		articStaccatoBelow										
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	135		articTenutoBelow										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	136		articStaccatoBelow										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	137		articStaccatoBelow										
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	138		articTenutoAbove										
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	139		articStaccatoAbove										
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	140		articStaccatoAbove										
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	141		articStaccatoAbove										
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	142		articStaccatoAbove										
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	143												
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	144												
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	145												
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	146												
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	147												
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16		1/16	1	148												
14	14	55	55	0.75	3/4	3/4	Chord	4/4	2	2	3/16		1/8	3/2	149												
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	150												
15	15	56	56	0.0	0	0	Dynamic	4/4	1	1	0					mf											
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	151									3			
15	15	57	57	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	152									3			
15	15	57	57	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	153									3			
15	15	57	57	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	154									3			
15	15	57	57	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	155									3			
15	15	57	57	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	156									3			
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	157												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	158												
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	159												
15	15	56	56	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	160												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	161												
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	162												
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	163												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	164												
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	165												
15	15	56	56	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	166												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	167												
15	15	59	59	0.75	3/4	3/4	Chord	4/4	2	2	3/16		1/8	3/2	168												
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	169												
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	170									4			
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	171									4			
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	172									4			
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	173									4			
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	174									4			
16	16	61	61	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	175									4			
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	176												
16	16	62	62	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	177									5			
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	178									5			
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	179												
16	16	60	60	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	180												
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	181												
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	182												
16	16	62	62	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	183												
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	184												
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	185												
16	16	60	60	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	186												
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	187												
16	16	63	63	0.75	3/4	3/4	Chord	4/4	2	2	3/16		1/8	3/2	188												
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	189												
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0														1		
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	190		articStaccatoBelow								1		
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	191		articStaccatoBelow								1		
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	192												
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	193												
17	17	64	64	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	194												
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	195		articStaccatoBelow										
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	196		articStaccatoBelow										
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	197												
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	198		articStaccatoBelow										
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	199		articStaccatoBelow										
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	200										1		
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	201										1		
18	18	71	71	0.0	3/4	3/4	Spanner	4/4	1	1	0																
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	202												
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	203												
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	204		articStaccatoAbove										
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	205		articStaccatoAbove										
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	206		articStaccatoBelow										
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	207		articStaccatoBelow										
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	208		articStaccatoBelow										
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	209		articStaccatoBelow										
19	19	72	72	0.0	0	0	Dynamic	4/4	1	1	0					f											
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	210									6			
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	211		articStaccatoAbove										
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	212		articStaccatoAbove										
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	213												
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	214		articAccentBelow							7			
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	215		articStaccatoBelow										
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	216		articStaccatoBelow										
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	217												
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	218												
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	219		articStaccatoAbove										
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	220		articStaccatoAbove										
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	221		articMarcatoAbove										
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	222		articStaccatoBelow										
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	223		articStaccatoBelow										
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	224									8			
20	20	79	79	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	225		articStaccatoBelow										
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	226		articStaccatoBelow										
20	20	76	76	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>piu rinforz."									
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	227		articAccentAbove										
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	228		articStaccatoAbove										
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	229		articStaccatoAbove										
20	20	78	78	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	230		articAccentAbove										
20	20	79	79	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	231		articStaccatoAbove										
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	232		articStaccatoAbove										
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	233												
21	21	81	81	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	234		articStaccatoBelow										
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	235		articStaccatoBelow										
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	236		articStaccatoBelow										
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	237		articStaccatoBelow										
21	21	83	83	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	238		articStaccatoBelow										
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	239		articStaccatoBelow										
21	21	80	80	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	240												
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	241												
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	242		articStaccatoAbove										
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	243		articStaccatoAbove										
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	244		articStaccatoAbove										
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	245		articStaccatoAbove										
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	246												
22	22	85	85	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	247												
22	22	85	85	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	248												
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	249												
22	22	351/4	351/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	250												
22	22	84	84	0.0	0	0	Dynamic	4/4	2	1	0					ff											
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	251												
22	22	86	86	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	252												
22	22	351/4	351/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	253												
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	254												
23	23	89	89	0.0	1/4	1/4	Spanner	4/4	1	1	0															0	
23	23	89	89	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	255		articStaccatoAbove									0	
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	256											0	
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	257									9		0	
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	258											0	
23	23	183/2	183/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																
23	23	367/4	367/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	259												
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	260												
