mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
45	45	240	6.0	0	0	6/4	2	1	iv	Db	bV		iv		iv							m	0	0	-1, -4, 0		-1	-1
46	46	246	6.0	0	0	6/4	2	1	bII	Db	bV		bII		bII							M	0	0	-5, -1, -4		-5	-5
47	47	252	6.0	0	0	6/4	2	1	bVII	Db	bV		bVII		bVII							M	0	0	-2, 2, -1		-2	-2
48	48	258	6.0	0	0	6/4	2	1	V[V	Db	bV	V	V		V							M	0	0	1, 5, 2		1	1
49	49	264	2.0	0	0	6/4	2	1	I6(2)	Db	bV	V	I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
49	49	266	1.0	1/2	1/2	6/4	2	1	I6	Db	bV	V	I6		I		6					M	0	0	4, 1, 0		0	4
49	49	267	3.0	3/4	3/4	6/4	2	1	V2/V	Db	bV	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
50	50	270	6.0	0	0	6/4	2	1	V	Db	bV	V	V		V							M	0	0	1, 5, 2		1	1
51	51	276	2.0	0	0	6/4	2	1	I6(2)	Db	bV	V	I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
51	51	278	1.0	1/2	1/2	6/4	2	1	I6	Db	bV	V	I6		I		6					M	0	0	4, 1, 0		0	4
51	51	279	3.0	3/4	3/4	6/4	2	1	V2/V	Db	bV	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
52	52	282	6.0	0	0	6/4	2	1	V]|HC}	Db	bV	V	V		V					HC	}	M	0	0	1, 5, 2		1	1
53	53	288	6.0	0	0	6/4	2	1	viio64{	Db	bV		viio64		vii	o	64				{	o	0	0	-1, 5, 2		5	-1
54	54	294	6.0	0	0	6/4	2	1	i.#viio7	Db	i		#viio7		#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
