mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
29	29	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	6	33	0.15384615384615385	0.75	4.875	0.13333333333333333
31	31	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	4	18	0.18181818181818182	0.5	2.625	0.16
32	32	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	7	21	0.25	0.875	2.625	0.25
33	33	0	0	6/8	4	1	I]|PAC}		F#	I		I		I					]	PAC	}	M	0	0	6, 10, 7		6.0	6.0	0	11	0.0	0.0	2.125	0.0
34	34	0	11/16	6/8	4	1	V[V{		F#	I	V	V		V							{	M	0	0	7, 11, 8		7.0	7.0	0	17	0.0	0.0	2.5	0.0
36	36	0	0	6/8	4	1	V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	8, 12, 9, 6		8.0	8.0	4	12	0.25	0.40625	1.96875	0.17105263157894737
37	37	0	0	6/8	4	1	V7]		F#	I		V7		V		7			]			Mm7	0	0	7, 11, 8, 5		7.0	7.0	5	15	0.25	0.5625	2.3125	0.1956521739130435
38	38	0	0	6/8	4	1	I(74#2)		F#	I		I(74#2)		I			74#2					M	0	0	6, 15, 5, 7	11	6.0	6.0	0	6	0.0	0.0	1.75	0.0
38	38	3/8	3/8	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	6, 10, 7		6.0	6.0	0	8	0.0	0.0	1.0	0.0
38	38	5/8	5/8	6/8	4	1	ii7/V{		F#	I		ii7/V		ii		7		V			{	mm7	0	0	9, 6, 10, 7		9.0	9.0	0	5	0.0	0.0	0.625	0.0
39	39	0	0	6/8	4	1	V7(4)/V		F#	I		V7(4)/V		V		7	4	V				Mm7	0	0	8, 7, 9, 6		8.0	8.0	1	4	0.2	0.0625	0.5625	0.1
39	39	1/4	1/4	6/8	4	1	V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	8, 12, 9, 6		8.0	8.0	3	10	0.23076923076923078	0.20833333333333334	1.4166666666666667	0.12820512820512822
40	40	0	0	6/8	4	1	V7(9)/V		F#	I		V7(9)/V		V		7	9	V				Mm7	0	0	8, 12, 9, 6	10	8.0	8.0	0	5	0.0	0.0	1.75	0.0
40	40	1/4	1/4	6/8	4	1	V7/V|HC}		F#	I		V7/V		V		7		V		HC	}	Mm7	0	0	8, 12, 9, 6		8.0	8.0	5	13	0.2777777777777778	0.375	1.125	0.25
42	42	0	0	6/8	4	1	V7(9)		F#	I		V7(9)		V		7	9					Mm7	0	0	7, 11, 8, 5	9	7.0	7.0	0	6	0.0	0.0	0.75	0.0
42	42	1/4	1/4	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	3	10	0.23076923076923078	0.20833333333333334	1.4166666666666667	0.12820512820512822
43	43	0	0	6/8	4	1	V7(6)		F#	I		V7(6)		V		7	6					Mm7	0	0	7, 11, 10, 5		7.0	7.0	0	4	0.0	0.0	1.375	0.0
43	43	1/4	1/4	6/8	4	1	V7|HC}		F#	I		V7		V		7				HC	}	Mm7	0	0	7, 11, 8, 5		7.0	7.0	45	47	0.4891304347826087	2.0625	2.3333333333333335	0.4691943127962085
46	46	0	0	6/8	4	1	I[I{		F#	I	I	I		I							{	M	0	0	6, 10, 7		6.0	6.0	4	15	0.21052631578947367	0.375	1.875	0.16666666666666666
47	47	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	0	4	0.0	0.0	0.625	0.0
47	47	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	3	11	0.21428571428571427	0.3125	0.9375	0.25
48	48	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	7	16	0.30434782608695654	0.6875	1.5625	0.3055555555555556
49	49	0	0	6/8	4	1	I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	6, 15, 7	11	6.0	6.0	1	3	0.25	0.0625	0.5625	0.1
49	49	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	9	29	0.23684210526315788	0.9375	3.4375	0.21428571428571427
51	51	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	0	5	0.0	0.0	0.875	0.0
51	51	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	4	13	0.23529411764705882	0.4375	1.1875	0.2692307692307692
52	52	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	9	19	0.32142857142857145	0.9375	1.9375	0.32608695652173914
53	53	0	0	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	6, 10, 7		6.0	6.0	2	10	0.16666666666666666	0.125	1.5625	0.07407407407407407
54	54	1/32	23/32	6/8	4	1	V[V{		F#	I	V	V		V							{	M	0	0	7, 11, 8		7.0	7.0	0	19	0.0	0.0	2.1875	0.0
56	56	0	0	6/8	4	1	V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	8, 12, 9, 6		8.0	8.0	4	16	0.2	0.34375	1.46875	0.1896551724137931
57	57	0	0	6/8	4	1	V7]		F#	I		V7		V		7			]			Mm7	0	0	7, 11, 8, 5		7.0	7.0	6	17	0.2608695652173913	0.625	2.25	0.21739130434782608
58	58	0	0	6/8	4	1	I(74#2)		F#	I		I(74#2)		I			74#2					M	0	0	6, 15, 5, 7	11	6.0	6.0	0	8	0.0	0.0	1.75	0.0
58	58	3/8	3/8	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	6, 10, 7		6.0	6.0	2	8	0.2	0.125	0.875	0.125
58	58	5/8	5/8	6/8	4	1	ii7/V{		F#	I		ii7/V		ii		7		V			{	mm7	0	0	9, 6, 10, 7		9.0	9.0	0	5	0.0	0.0	0.5	0.0
59	59	0	0	6/8	4	1	V7(4)/V		F#	I		V7(4)/V		V		7	4	V				Mm7	0	0	8, 7, 9, 6		8.0	8.0	1	4	0.2	0.0625	0.8125	0.07142857142857142
59	59	1/4	1/4	6/8	4	1	V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	8, 12, 9, 6		8.0	8.0	3	10	0.23076923076923078	0.20833333333333334	1.4166666666666667	0.12820512820512822
60	60	0	0	6/8	4	1	V7(9)/V		F#	I		V7(9)/V		V		7	9	V				Mm7	0	0	8, 12, 9, 6	10	8.0	8.0	0	5	0.0	0.0	1.75	0.0
60	60	1/4	1/4	6/8	4	1	V7/V|HC}		F#	I		V7/V		V		7		V		HC	}	Mm7	0	0	8, 12, 9, 6		8.0	8.0	5	19	0.20833333333333334	0.2916666666666667	1.2083333333333333	0.19444444444444445
62	62	0	0	6/8	4	1	V7(9)		F#	I		V7(9)		V		7	9					Mm7	0	0	7, 11, 8, 5	9	7.0	7.0	0	6	0.0	0.0	1.0	0.0
62	62	1/4	1/4	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	3	10	0.23076923076923078	0.20833333333333334	1.4166666666666667	0.12820512820512822
63	63	0	0	6/8	4	1	V7(6)		F#	I		V7(6)		V		7	6					Mm7	0	0	7, 11, 10, 5		7.0	7.0	0	4	0.0	0.0	1.375	0.0
63	63	1/4	1/4	6/8	4	1	V7|HC}		F#	I		V7		V		7				HC	}	Mm7	0	0	7, 11, 8, 5		7.0	7.0	155	124	0.5555555555555556	6.458333333333333	5.458333333333333	0.541958041958042
71	71	0	0	6/8	4	1	I[I{		F#	I	I	I		I							{	M	0	0	6, 10, 7		6.0	6.0	10	35	0.2222222222222222	0.5	1.6875	0.22857142857142856
72	72	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	1	12	0.07692307692307693	0.03125	0.8125	0.037037037037037035
72	72	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	7	25	0.21875	0.40625	1.1875	0.2549019607843137
73	73	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	11	36	0.23404255319148937	0.71875	1.90625	0.27380952380952384
74	74	0	0	6/8	4	1	I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	6, 15, 7	11	6.0	6.0	4	9	0.3076923076923077	0.125	0.71875	0.14814814814814814
74	74	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	17	60	0.22077922077922077	0.90625	2.875	0.2396694214876033
76	76	0	0	6/8	4	1	I(134)		F#	I		I(134)		I			134					M	0	0	6, 5, 7	9	6.0	6.0	1	12	0.07692307692307693	0.03125	0.8125	0.037037037037037035
76	76	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	7	25	0.21875	0.40625	1.1875	0.2549019607843137
77	77	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	11	36	0.23404255319148937	0.71875	1.90625	0.27380952380952384
78	78	0	0	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	6, 10, 7		6.0	6.0	26	45	0.36619718309859156	1.0833333333333333	2.8541666666666665	0.2751322751322751
80	80	0	0	6/8	4	1	I(1311)		F#	I		I(1311)		I			1311					M	0	0	6, 10, 7	9, 5	6.0	6.0	0	10	0.0	0.0	0.59375	0.0
80	80	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	6	11	0.35294117647058826	0.3854166666666667	0.8645833333333334	0.30833333333333335
81	81	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	11	21	0.34375	0.8229166666666666	1.6458333333333333	0.3333333333333333
82	82	0	0	6/8	4	1	I(#97)		F#	I		I(#97)		I			#97					M	0	0	6, 10, 7	15, 11	6.0	6.0	2	9	0.18181818181818182	0.0625	0.65625	0.08695652173913043
82	82	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	14	31	0.3111111111111111	0.8333333333333334	2.3854166666666665	0.25889967637540456
84	84	0	0	6/8	4	1	I(1311)		F#	I		I(1311)		I			1311					M	0	0	6, 10, 7	9, 5	6.0	6.0	0	10	0.0	0.0	0.59375	0.0
84	84	1/4	1/4	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	6	11	0.35294117647058826	0.3854166666666667	0.8645833333333334	0.30833333333333335
85	85	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	11	21	0.34375	0.8229166666666666	1.6458333333333333	0.3333333333333333
86	86	0	0	6/8	4	1	vi6		F#	I		vi6		vi		6						m	0	0	6, 10, 9		9.0	6.0	15	19	0.4411764705882353	1.2291666666666667	1.40625	0.46640316205533594
87	87	0	0	6/8	4	1	V7		F#	I		V7		V		7						Mm7	0	0	7, 11, 8, 5		7.0	7.0	14	20	0.4117647058823529	0.9791666666666666	1.65625	0.3715415019762846
88	88	0	0	6/8	4	1	IV		F#	I		IV		IV								M	0	0	5, 9, 6		5.0	5.0	16	18	0.47058823529411764	1.2604166666666667	1.375	0.47826086956521735
89	89	0	0	6/8	4	1	V43		F#	I		V43		V		43						Mm7	0	0	8, 5, 7, 11		7.0	8.0	113	151	0.42803030303030304	6.083333333333333	11.28125	0.35032993401319734
98	98	0	0	6/8	4	1	I|IAC}		F#	I		I		I						IAC	}	M	0	0	6, 10, 7		6.0	6.0	2	19	0.09523809523809523	0.25	3.375	0.06896551724137931
99	99	0	0	6/8	4	1	I(13#11#2)		F#	I		I(13#11#2)		I			13#11#2					M	0	0	6, 15, 7	9, 12	6.0	6.0	0	6	0.0	0.0	2.25	0.0
99	99	3/8	3/8	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	7	0.0	0.0	1.0	0.0
100	100	1/8	1/8	6/8	4	1	iv6		F#	I		iv6		iv		6						m	0	0	2, 6, 5		5.0	2.0	1	11	0.08333333333333333	0.125	1.375	0.08333333333333333
100	100	3/8	3/8	6/8	4	1	ii%43		F#	I		ii%43		ii	%	43						%7	0	0	2, 6, 8, 5		8.0	2.0	0	6	0.0	0.0	0.75	0.0
100	100	1/2	1/2	6/8	4	1	iv6		F#	I		iv6		iv		6						m	0	0	2, 6, 5		5.0	2.0	1	17	0.05555555555555555	0.125	2.125	0.05555555555555555
101	101	1/8	1/8	6/8	4	1	iv64		F#	I		iv64		iv		64						m	0	0	6, 5, 2		5.0	6.0	1	17	0.05555555555555555	0.125	2.125	0.05555555555555555
101	101	1/2	1/2	6/8	4	1	ii%2		F#	I		ii%2		ii	%	2						%7	0	0	6, 8, 5, 2		8.0	6.0	1	9	0.1	0.125	1.125	0.1
102	102	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	2	19	0.09523809523809523	0.25	3.375	0.06896551724137931
103	103	0	0	6/8	4	1	I(13#11#2)		F#	I		I(13#11#2)		I			13#11#2					M	0	0	6, 15, 7	9, 12	6.0	6.0	0	6	0.0	0.0	2.25	0.0
103	103	3/8	3/8	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	7	0.0	0.0	0.875	0.0
104	104	1/8	1/8	6/8	4	1	iv6		F#	I		iv6		iv		6						m	0	0	2, 6, 5		5.0	2.0	1	11	0.08333333333333333	0.125	1.375	0.08333333333333333
104	104	3/8	3/8	6/8	4	1	ii%43		F#	I		ii%43		ii	%	43						%7	0	0	2, 6, 8, 5		8.0	2.0	0	6	0.0	0.0	0.75	0.0
104	104	1/2	1/2	6/8	4	1	iv6		F#	I		iv6		iv		6						m	0	0	2, 6, 5		5.0	2.0	1	17	0.05555555555555555	0.125	2.125	0.05555555555555555
105	105	1/8	1/8	6/8	4	1	iv64		F#	I		iv64		iv		64						m	0	0	6, 5, 2		5.0	6.0	1	17	0.05555555555555555	0.125	2.125	0.05555555555555555
105	105	1/2	1/2	6/8	4	1	ii%2		F#	I		ii%2		ii	%	2						%7	0	0	6, 8, 5, 2		8.0	6.0	1	9	0.1	0.125	1.125	0.1
106	106	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	18	0.0	0.0	3.375	0.0
107	107	1/8	1/8	6/8	4	1	bVI		F#	I		bVI		bVI								M	0	0	2, 6, 3		2.0	2.0	2	22	0.08333333333333333	0.25	2.75	0.08333333333333333
107	107	5/8	5/8	6/8	4	1	Ger6		F#	I		Ger6	Ger	vii	o	65	b3	V				Ger	0	0	2, 6, 3, 12		12.0	2.0	0	6	0.0	0.0	0.75	0.0
108	108	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	18	0.0	0.0	3.375	0.0
109	109	1/8	1/8	6/8	4	1	bVI		F#	I		bVI		bVI								M	0	0	2, 6, 3		2.0	2.0	2	22	0.08333333333333333	0.25	2.75	0.08333333333333333
109	109	5/8	5/8	6/8	4	1	Ger6		F#	I		Ger6	Ger	vii	o	65	b3	V				Ger	0	0	2, 6, 3, 12		12.0	2.0	0	6	0.0	0.0	0.75	0.0
110	110	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	17	0.0	0.0	4.25	0.0
111	111	1/4	1/4	6/8	4	1	vi		F#	I		vi		vi								m	0	0	9, 6, 10		9.0	9.0	0	16	0.0	0.0	4.0	0.0
112	112	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	17	0.0	0.0	4.25	0.0
113	113	1/4	1/4	6/8	4	1	iii6		F#	I		iii6		iii		6						m	0	0	7, 11, 10		10.0	7.0	0	16	0.0	0.0	4.0	0.0
114	114	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	17	0.0	0.0	4.25	0.0
115	115	1/4	1/4	6/8	4	1	vi		F#	I		vi		vi								m	0	0	9, 6, 10		9.0	9.0	0	16	0.0	0.0	4.0	0.0
116	116	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	17	0.0	0.0	4.25	0.0
117	117	1/4	1/4	6/8	4	1	iii6		F#	I		iii6		iii		6						m	0	0	7, 11, 10		10.0	7.0	0	16	0.0	0.0	4.0	0.0
118	118	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	9	0.0	0.0	3.25	0.0
119	119	0	0	6/8	4	1	vi64		F#	I		vi64		vi		64						m	0	0	10, 9, 6		9.0	10.0	0	8	0.0	0.0	6.0	0.0
120	120	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	9	0.0	0.0	3.25	0.0
121	121	0	0	6/8	4	1	iii		F#	I		iii		iii								m	0	0	10, 7, 11		10.0	10.0	0	8	0.0	0.0	6.0	0.0
122	122	0	0	6/8	4	1	I		F#	I		I		I								M	0	0	6, 10, 7		6.0	6.0	0	33	0.0	0.0	16.25	0.0
